block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 93 146 160 158 172 a
1 1 1 2 91 172 153 381 177 Yukawa-potential
1 1 1 3 96 396 156 448 178 type
1 1 1 4 96 463 154 592 177 expression.
1 1 1 5 93 621 153 666 172 The
1 1 1 6 92 682 153 825 178 Born-Mayer
1 1 2 1 96 145 185 292 204 contribution
1 1 2 2 95 304 185 320 204 is
1 1 2 3 95 332 192 345 204 a
1 1 2 4 93 355 185 431 209 simple
1 1 2 5 92 442 185 716 210 exponentially-decaying
1 1 2 6 96 727 184 825 204 function
1 1 3 1 96 145 215 168 235 of
1 1 3 2 93 178 216 215 235 the
1 1 3 3 92 227 223 334 235 core-core
1 1 3 4 96 346 217 475 240 separation,
1 1 3 5 96 489 216 608 235 motivated
1 1 3 6 96 620 216 648 241 by
1 1 3 7 96 660 216 697 235 the
1 1 3 8 93 709 216 777 235 radial
1 1 3 9 92 789 216 824 235 de-
1 1 4 1 96 145 255 184 273 cay
1 1 4 2 96 196 247 219 267 of
1 1 4 3 96 229 248 323 267 electron
1 1 4 4 96 334 247 502 267 wavefunctions
1 1 4 5 96 514 247 545 267 for
1 1 4 6 97 557 248 594 267 the
1 1 4 7 96 607 248 677 267 closed
1 1 4 8 95 690 248 759 267 shells.
1 1 4 9 96 779 248 824 267 The
1 1 5 1 96 145 279 241 299 effective
1 1 5 2 96 252 280 388 299 interatomic
1 1 5 3 96 399 280 505 304 potential
1 1 5 4 96 516 280 578 299 reads
1 1 5 5 96 589 287 612 299 as
2 1 1 1 96 173 471 242 490 where
3 1 1 1 97 173 648 190 667 is
3 1 1 2 96 202 648 239 667 the
3 1 1 3 96 251 647 352 667 Ashcroft
3 1 1 4 96 365 647 434 667 factor
3 1 1 5 96 448 646 494 674 [20],
3 1 1 6 93 507 648 560 667 with
3 1 1 7 38 572 648 631 671 Reore
3 1 1 8 95 644 648 708 673 being
3 1 1 9 95 720 655 733 667 a
3 1 1 10 96 744 648 825 673 typical
3 1 2 1 95 145 680 206 699 value
3 1 2 2 96 216 680 247 699 for
3 1 2 3 93 256 680 293 699 the
3 1 2 4 92 303 680 459 704 atom-specific
3 1 2 5 96 468 687 516 699 core
3 1 2 6 96 525 680 598 699 radius
3 1 2 7 96 608 680 650 699 and
3 1 2 8 90 661 680 707 703 Zion
3 1 2 9 93 717 680 754 699 the
3 1 2 10 92 764 679 824 699 effec-
3 1 3 1 95 145 712 188 731 tive
3 1 3 2 96 201 713 257 731 ionic
3 1 3 3 96 270 712 346 737 charge
3 1 3 4 96 359 712 455 731 number.
3 1 3 5 96 477 712 633 736 Furthermore,
3 1 3 6 78 648 719 672 735 ao
3 1 3 7 96 687 713 704 731 is
3 1 3 8 96 716 712 753 731 the
3 1 3 9 96 767 712 825 731 Bohr
4 1 1 1 96 145 744 218 763 radius
4 1 1 2 93 232 744 275 763 and
4 1 1 3 86 289 747 304 763 @
4 1 1 4 96 318 745 335 763 is
5 1 1 1 75 360 744 386 763 he
5 1 1 2 96 401 750 489 769 average
5 1 1 3 96 503 744 558 763 ionic
5 1 1 4 96 572 751 620 763 core
5 1 1 5 96 634 744 739 763 diameter
5 1 1 6 96 753 743 776 763 of
5 1 1 7 97 788 744 824 763 the
6 1 1 1 96 880 160 953 172 known
6 1 1 2 96 963 152 1013 177 fact,
6 1 1 3 96 1025 154 1042 172 it
6 1 1 4 96 1053 155 1114 172 turns
6 1 1 5 95 1125 156 1163 172 out
6 1 1 6 93 1174 153 1222 172 that
6 1 1 7 92 1234 153 1254 172 B
6 1 1 8 96 1265 153 1282 172 is
6 1 1 9 96 1292 153 1330 172 the
6 1 1 10 96 1340 155 1396 172 most
6 1 1 11 93 1408 153 1508 172 sensitive
6 1 1 12 91 1518 160 1554 177 pa-
6 1 2 1 96 876 187 968 204 rameter
6 1 2 2 96 977 185 999 204 in
6 1 2 3 96 1007 192 1046 204 our
6 1 2 4 96 1055 185 1155 210 analysis,
6 1 2 5 96 1165 186 1187 204 in
6 1 2 6 97 1195 185 1232 204 the
6 1 2 7 96 1241 191 1302 204 sense
6 1 2 8 96 1310 185 1359 204 that
6 1 2 9 96 1368 185 1430 204 small
6 1 2 10 96 1438 185 1555 204 variations
6 1 3 1 92 876 216 898 235 in
6 1 3 2 92 908 216 928 235 B
6 1 3 3 95 939 223 979 235 can
6 1 3 4 96 989 216 1037 235 lead
6 1 3 5 96 1048 218 1071 235 to
6 1 3 6 96 1081 216 1138 241 large
6 1 3 7 96 1149 216 1269 235 deviations
6 1 3 8 96 1280 216 1302 235 in
6 1 3 9 96 1312 216 1349 235 the
6 1 3 10 96 1359 216 1432 241 fitting
6 1 3 11 97 1442 216 1465 235 of
6 1 3 12 93 1473 216 1510 235 the
6 1 3 13 93 1520 223 1554 235 ex-
6 1 4 1 91 892 248 1004 267 erimental
6 1 4 2 96 1014 248 1072 267 data.
6 1 4 3 96 1088 247 1221 273 Conversely,
6 1 4 4 96 1232 248 1269 267 the
6 1 4 5 93 1280 247 1380 267 Ashcroft
6 1 4 6 92 1392 247 1499 272 prefactor
6 1 4 7 96 1509 247 1528 267 A
6 1 4 8 96 1538 248 1555 267 is
6 1 5 1 96 876 282 913 299 not
6 1 5 2 96 926 287 939 299 a
6 1 5 3 96 950 280 1050 299 sensitive
6 1 5 4 96 1061 282 1190 304 parameter,
6 1 5 5 96 1203 280 1246 299 and
6 1 5 6 96 1257 280 1285 299 its
6 1 5 7 96 1296 280 1368 299 values
6 1 5 8 96 1380 287 1415 299 are
6 1 5 9 95 1427 282 1464 299 not
6 1 5 10 95 1477 280 1555 299 crucial
6 1 6 1 74 884 319 908 331 ‘or
6 1 6 2 96 918 312 955 331 the
6 1 6 3 96 966 312 1039 331 match
6 1 6 4 96 1049 312 1102 331 with
6 1 6 5 96 1113 312 1263 336 experiments.
6 2 1 1 96 904 344 928 363 In
6 2 1 2 96 943 343 988 364 Ref.
6 2 1 3 94 1007 342 1039 370 [8],
6 2 1 4 96 1057 344 1073 363 it
6 2 1 5 96 1088 351 1131 363 was
6 2 1 6 96 1147 343 1213 363 found
6 2 1 7 96 1228 344 1284 368 that,
6 2 1 8 96 1302 345 1324 363 in
6 2 1 9 96 1338 344 1400 363 order
6 2 1 10 96 1415 346 1438 363 to
6 2 1 11 96 1453 344 1477 363 fit
6 2 1 12 96 1494 344 1555 363 shear
6 2 2 1 96 876 376 976 395 modulus
6 2 2 2 95 991 376 1034 395 and
6 2 2 3 96 1047 376 1149 401 viscosity
6 2 2 4 96 1162 376 1215 395 data
6 2 2 5 96 1228 375 1251 395 of
6 2 2 6 96 1262 376 1347 395 various
6 2 2 7 96 1361 376 1433 401 alloys,
6 2 2 8 96 1449 376 1520 395 values
6 2 2 9 96 1534 375 1557 395 of
6 2 3 1 93 887 407 913 426 he
6 2 3 2 91 923 407 1066 432 Born-Mayer
6 2 3 3 96 1076 407 1184 431 repulsion
6 2 3 4 93 1194 407 1293 432 strength
6 2 3 5 92 1303 407 1322 426 B
6 2 3 6 96 1334 414 1369 426 are
6 2 3 7 96 1379 407 1477 432 required
6 2 3 8 96 1486 407 1555 426 which
6 2 4 1 96 876 446 911 458 are
6 2 4 2 96 924 439 1020 458 between
6 2 4 3 96 1032 441 1074 458 two
6 2 4 4 96 1086 439 1129 458 and
6 2 4 5 96 1141 439 1201 458 three
6 2 4 6 96 1214 439 1286 458 orders
6 2 4 7 96 1299 438 1322 458 of
6 2 4 8 95 1332 439 1458 464 magnitude
6 2 4 9 96 1470 439 1555 458 smaller
6 2 5 1 96 887 471 930 490 han
6 2 5 2 92 938 471 975 490 the
6 2 5 3 92 984 471 1127 496 Born-Mayer
6 2 5 4 96 1136 473 1268 495 parameters
6 2 5 5 96 1277 471 1391 490 tabulated
6 2 5 6 96 1400 470 1431 490 for
6 2 5 7 93 1440 477 1492 495 pure
6 2 5 8 92 1501 473 1554 490 met-
6 2 6 1 96 876 503 913 522 als.
6 2 6 2 96 933 503 985 522 This
6 2 6 3 96 997 504 1117 527 important
6 2 6 4 96 1130 502 1243 522 difference
6 2 6 5 96 1255 503 1293 522 has
6 2 6 6 96 1306 505 1328 522 at
6 2 6 7 96 1341 503 1394 522 least
6 2 6 8 96 1407 505 1449 522 two
6 2 6 9 94 1461 510 1553 522 reasons.
6 2 7 1 96 876 534 924 555 One
6 2 7 2 96 940 542 1016 554 reason
6 2 7 3 96 1033 536 1050 554 is
6 2 7 4 96 1067 535 1116 554 that
6 2 7 5 93 1133 535 1170 554 the
6 2 7 6 92 1187 535 1330 560 Born-Mayer
6 2 7 7 96 1347 534 1438 554 formula
6 2 7 8 95 1454 535 1507 554 used
6 2 7 9 95 1524 534 1555 554 for
6 2 8 1 92 891 573 928 586 ure
6 2 8 2 96 939 567 1065 586 substances
