block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 0 298 154 305 164 ?
1 1 1 2 96 322 154 425 177 Currently
1 1 1 3 96 436 156 463 172 at:
1 1 1 4 96 478 154 552 173 Center
1 1 1 5 96 559 154 592 177 for
1 1 1 6 96 605 155 744 177 Underground
1 1 1 7 96 754 155 841 177 Physics,
1 1 1 8 96 854 155 946 172 Institute
1 1 1 9 96 955 154 989 177 for
1 1 1 10 96 998 155 1057 172 Basic
1 1 1 11 96 1068 154 1154 176 Science,
1 1 1 12 96 1168 155 1256 177 Daejeon
1 1 1 13 95 1267 155 1336 177 34126,
1 1 1 14 96 1349 155 1413 172 Korea
2 1 1 1 96 329 354 371 371 The
2 1 1 2 93 385 354 453 371 charm
2 1 1 3 91 466 354 603 376 semileptonic
2 1 1 4 96 617 354 688 376 decays
2 1 1 5 92 703 351 737 371 Dt
2 1 1 6 42 756 358 778 371 +
2 1 1 7 34 794 351 857 376 ne+y.,
2 1 1 8 96 873 354 913 371 and
2 1 1 9 85 927 350 962 371 Dt
2 1 1 10 47 980 358 1003 371 -
2 1 1 11 21 1019 350 1089 376 n/e+y.
2 1 1 12 96 1105 360 1138 371 are
2 1 1 13 96 1151 354 1231 371 studied
2 1 1 14 96 1245 354 1294 371 with
2 1 1 15 96 1308 360 1319 371 a
2 1 1 16 96 1333 354 1408 376 sample
2 1 2 1 96 303 382 324 400 of
2 1 2 2 27 335 380 388 400 ete
2 1 2 3 96 405 383 493 400 collision
2 1 2 4 96 506 383 555 400 data
2 1 2 5 96 567 383 722 405 corresponding
2 1 2 6 96 734 385 756 400 to
2 1 2 7 96 769 389 794 400 an
2 1 2 8 96 807 383 919 405 integrated
2 1 2 9 96 932 383 1047 405 luminosity
2 1 2 10 96 1060 382 1081 400 of
2 1 2 11 23 1092 383 1136 401 2.93
2 1 2 12 23 1142 379 1187 400 fb~!
2 1 2 13 96 1203 383 1298 400 collected
2 1 2 14 91 1311 385 1332 400 at
2 1 2 15 48 1347 381 1378 406 /s
2 1 2 16 96 1391 391 1408 397 =
2 1 3 1 96 303 412 359 430 3.773
2 1 3 2 96 366 411 415 430 GeV
2 1 3 3 96 426 412 474 429 with
2 1 3 4 93 485 412 520 429 the
2 1 3 5 86 531 411 608 430 BESIII
2 1 3 6 96 620 412 715 429 detector.
2 1 3 7 96 733 412 767 430 We
2 1 3 8 96 779 418 868 429 measure
2 1 3 9 96 880 412 914 429 the
2 1 3 10 96 925 412 1034 434 branching
2 1 3 11 96 1045 411 1140 429 fractions
2 1 3 12 95 1151 411 1181 429 for
2 1 3 13 81 1192 409 1226 429 D+
2 1 3 14 54 1241 416 1263 429 —
2 1 3 15 87 1275 409 1338 434 netve
2 1 3 16 96 1351 415 1372 429 to
2 1 3 17 96 1384 412 1408 429 be
2 1 4 1 95 304 440 370 464 (10.74
2 1 4 2 88 379 442 395 458 +
2 1 4 3 90 405 441 447 459 0.81
2 1 4 4 90 458 440 536 464 £0.51)
2 1 4 5 92 549 446 561 458 x
2 1 4 6 48 574 437 630 463 10~*,
2 1 4 7 96 643 441 682 458 and
2 1 4 8 95 694 440 723 458 for
2 1 4 9 87 735 437 770 458 Dt
2 1 4 10 71 784 445 806 458 >
2 1 4 11 0 819 437 889 463 n/etv.
2 1 4 12 96 902 443 924 458 to
2 1 4 13 96 935 441 960 458 be
2 1 4 14 96 973 440 1024 464 (1.91
2 1 4 15 84 1035 442 1051 458 +
2 1 4 16 92 1060 441 1103 459 0.51
2 1 4 17 55 1113 449 1130 458 +
2 1 4 18 95 1139 440 1192 464 0.13)
2 1 4 19 96 1204 446 1216 458 x
2 1 4 20 46 1230 437 1286 463 1074,
2 1 4 21 96 1299 441 1363 458 where
2 1 4 22 96 1374 441 1408 458 the
2 1 5 1 96 303 470 444 487 uncertainties
2 1 5 2 96 454 476 487 487 are
2 1 5 3 96 496 470 603 487 statistical
2 1 5 4 96 612 470 652 487 and
2 1 5 5 96 661 470 783 492 systematic,
2 1 5 6 96 794 470 927 492 respectively.
2 1 5 7 96 941 470 963 487 In
2 1 5 8 96 973 470 1070 492 addition,
2 1 5 9 96 1080 476 1108 487 we
2 1 5 10 96 1117 469 1204 492 perform
2 1 5 11 95 1214 476 1225 487 a
2 1 5 12 95 1234 472 1379 487 measurement
2 1 5 13 95 1389 469 1410 487 of
2 1 6 1 96 303 499 337 516 the
2 1 6 2 96 346 498 397 516 form
2 1 6 3 96 406 498 469 516 factor
2 1 6 4 97 479 499 499 516 in
2 1 6 5 96 508 499 542 516 the
2 1 6 6 95 551 499 613 521 decay
2 1 6 7 72 622 496 656 516 D+
2 1 6 8 79 673 503 684 516 —
2 1 6 9 12 701 496 771 521 netv..
2 1 6 10 95 785 498 817 516 All
2 1 6 11 95 826 499 860 516 the
2 1 6 12 96 869 499 941 516 results
2 1 6 13 96 951 505 983 516 are
2 1 6 14 97 993 499 1101 516 consistent
2 1 6 15 96 1111 499 1159 516 with
2 1 6 16 96 1168 499 1225 516 those
2 1 6 17 96 1235 499 1330 516 obtained
2 1 6 18 97 1339 499 1365 521 by
2 1 6 19 97 1374 499 1408 516 the
3 1 1 1 91 303 528 393 547 CLEO-c
3 1 1 2 96 403 529 532 551 experiment.
4 1 1 1 95 1121 441 1122 458 " "
5 1 1 1 93 303 580 407 600 Keywords:
5 1 1 2 69 421 580 497 597 BESIII,
5 1 1 3 93 507 580 569 595 charm
5 1 1 4 91 579 580 704 599 semileptonic
5 1 1 5 96 713 580 773 600 decay,
5 1 1 6 96 784 579 830 595 form
5 1 1 7 96 839 579 897 595 factor
6 1 1 1 90 346 664 362 681 I.
6 1 1 2 95 395 664 634 681 INTRODUCTION
7 1 1 1 92 179 733 260 754 Charm
7 1 1 2 91 280 734 427 758 semileptonic
7 1 1 3 96 449 733 498 760 (SL)
7 1 1 4 96 520 734 596 759 decays
7 1 1 5 96 617 734 699 753 involve
7 1 1 6 96 718 734 773 753 both
7 1 1 7 96 793 734 830 753 the
7 1 2 1 53 151 765 240 789 cquark
7 1 2 2 96 258 765 317 784 weak
7 1 2 3 96 336 765 402 790 decay
7 1 2 4 96 421 765 464 784 and
7 1 2 5 96 483 765 520 784 the
7 1 2 6 96 539 767 613 790 strong
7 1 2 7 89 632 765 766 784 interaction.
7 1 2 8 89 806 765 830 784 In
7 1 3 1 96 151 797 188 816 the
7 1 3 2 96 203 796 312 817 Standard
7 1 3 3 96 327 797 407 821 Model,
7 1 3 4 93 424 797 461 816 the
7 1 3 5 92 477 796 830 822 Cabibbo-Kobayashi-Maskawa
7 1 4 1 92 153 827 236 855 (CKM)
7 1 4 2 95 247 829 327 848 matrix
7 1 4 3 96 338 827 362 855 [1]
7 1 4 4 96 374 829 481 848 describes
7 1 4 5 96 490 829 527 848 the
7 1 4 6 96 537 829 618 854 mixing
7 1 4 7 96 628 835 706 854 among
7 1 4 8 96 715 829 752 848 the
7 1 4 9 96 762 829 830 853 quark
7 1 5 1 96 151 860 227 880 flavors
7 1 5 2 96 243 862 264 880 in
7 1 5 3 96 280 861 317 880 the
7 1 5 4 96 332 861 391 880 weak
7 1 5 5 96 406 861 476 886 decay.
7 1 5 6 96 506 861 552 880 The
7 1 5 7 96 568 863 642 886 strong
7 1 5 8 93 657 862 786 880 interaction
7 1 5 9 92 801 860 829 880 ef-
7 1 6 1 96 151 892 204 912 fects
7 1 6 2 95 221 894 242 912 in
7 1 6 3 95 259 893 296 912 the
7 1 6 4 96 313 893 416 912 hadronic
7 1 6 5 96 433 895 517 912 current
7 1 6 6 96 535 900 570 912 are
7 1 6 7 96 587 893 756 917 parameterized
7 1 6 8 96 773 893 801 918 by
7 1 6 9 96 818 900 830 912 a
7 1 7 1 96 151 924 206 944 form
7 1 7 2 96 216 924 290 949 factor,
7 1 7 3 96 302 925 371 944 which
7 1 7 4 96 381 925 398 944 is
