block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 198 321 324 342 statistical
1 1 1 2 96 338 321 417 342 model
1 1 1 3 96 431 321 584 342 calculations
1 1 1 4 96 598 322 763 343 overestimate
1 1 1 5 96 777 321 817 342 the
1 1 1 6 92 832 321 955 342 measured
1 1 1 7 0 969 316 1160 349 °*Zn(p,a)°!Cu
1 1 1 8 96 1174 324 1198 342 at
1 1 1 9 96 1213 321 1254 342 the
1 1 1 10 95 1268 321 1346 342 lowest
1 1 1 11 95 1361 321 1456 342 studied
1 1 2 1 96 198 358 300 384 energies
1 1 2 2 96 312 357 379 378 while
1 1 2 3 96 391 357 431 378 the
1 1 2 4 96 443 360 576 384 agreement
1 1 2 5 96 588 357 697 378 becomes
1 1 2 6 96 709 357 776 384 fairly
1 1 2 7 96 788 357 850 384 good
1 1 2 8 96 861 357 929 378 when
1 1 2 9 96 940 357 981 378 the
1 1 2 10 96 992 364 1078 384 energy
1 1 2 11 96 1089 358 1211 378 increases.
1 1 2 12 96 1227 357 1254 378 In
1 1 2 13 96 1265 357 1306 378 the
1 1 2 14 96 1317 364 1369 378 case
1 1 2 15 96 1381 357 1406 378 of
1 1 2 16 96 1415 357 1456 378 the
1 1 3 1 92 198 392 353 415 SMARAGD
1 1 3 2 96 365 393 423 414 code
1 1 3 3 96 436 392 493 421 (and
1 1 3 4 96 504 394 528 414 in
1 1 3 5 96 539 394 569 414 its
1 1 3 6 96 580 393 729 420 predecessor
1 1 3 7 95 740 392 962 421 NON-SMOKER)
1 1 3 8 96 975 393 1015 414 the
1 1 3 9 96 1026 393 1141 414 standard
1 1 3 10 96 1152 393 1305 414 calculations
1 1 3 11 96 1317 400 1355 414 are
1 1 3 12 96 1366 393 1456 414 carried
1 1 4 1 96 198 431 239 450 out
1 1 4 2 96 251 429 309 450 with
1 1 4 3 93 320 429 360 450 the
1 1 4 4 91 372 429 549 456 alpha-nucleus
1 1 4 5 96 561 429 649 456 optical
1 1 4 6 96 660 429 776 456 potential
1 1 4 7 96 787 429 812 450 of
1 1 4 8 96 821 429 958 450 McFadden
1 1 4 9 93 969 429 1016 450 and
1 1 4 10 92 1028 429 1133 451 Satchler
1 1 4 11 96 1147 427 1196 458 [11].
1 1 4 12 96 1213 429 1270 450 This
1 1 4 13 96 1281 429 1398 456 potential
1 1 4 14 97 1409 436 1455 450 was
1 1 5 1 96 198 465 326 492 developed
1 1 5 2 96 338 465 411 486 based
1 1 5 3 96 422 472 453 486 on
1 1 5 4 96 465 466 493 487 25
1 1 5 5 96 500 465 563 487 MeV
1 1 5 6 95 574 465 744 492 experimental
1 1 5 7 96 755 465 813 486 data
1 1 5 8 96 825 472 863 486 and
1 1 5 9 96 883 465 940 486 does
1 1 5 10 96 952 467 993 486 not
1 1 5 11 96 1006 465 1064 486 have
1 1 5 12 96 1076 473 1121 492 any
1 1 5 13 96 1133 472 1218 492 energy
1 1 5 14 96 1230 465 1387 492 dependence.
1 1 5 15 96 1404 465 1424 486 It
1 1 5 16 96 1437 466 1455 486 is
1 1 6 1 96 197 501 313 522 therefore
1 1 6 2 96 326 504 367 522 not
1 1 6 3 96 381 502 510 528 surprising
1 1 6 4 96 522 501 575 522 that
1 1 6 5 96 589 501 758 528 experimental
1 1 6 6 95 771 501 881 522 evidence
1 1 6 7 95 894 502 913 522 is
1 1 6 8 96 926 501 1049 528 gathering
1 1 6 9 96 1061 501 1114 522 that
1 1 6 10 96 1128 501 1169 522 the
1 1 6 11 96 1181 501 1298 528 potential
1 1 6 12 96 1310 501 1362 522 fails
1 1 6 13 96 1375 504 1399 522 at
1 1 6 14 96 1413 501 1456 522 low
1 1 7 1 96 198 538 300 564 energies
1 1 7 2 96 311 537 387 558 where
1 1 7 3 96 398 544 429 558 an
1 1 7 4 96 439 544 524 564 energy
1 1 7 5 96 535 537 686 564 dependence
1 1 7 6 96 696 537 722 558 of
1 1 7 7 96 731 540 754 558 at
1 1 7 8 96 766 537 824 558 least
1 1 7 9 96 836 537 876 558 the
1 1 7 10 96 887 538 1018 564 imaginary
1 1 7 11 96 1029 539 1081 564 part
1 1 7 12 96 1093 537 1118 558 of
1 1 7 13 96 1127 537 1167 558 the
1 1 7 14 96 1178 537 1294 564 potential
1 1 7 15 96 1305 544 1379 558 seems
1 1 7 16 96 1390 540 1416 558 to
1 1 7 17 96 1426 537 1456 558 be
1 1 8 1 96 197 573 311 600 required.
1 1 9 1 96 237 609 263 630 In
1 1 9 2 96 279 609 347 630 order
1 1 9 3 96 363 612 388 630 to
1 1 9 4 96 404 616 458 630 cure
1 1 9 5 95 474 609 514 630 the
1 1 9 6 96 531 609 574 630 low
1 1 9 7 96 590 616 675 636 energy
1 1 9 8 96 695 609 797 630 problem
1 1 9 9 95 813 609 838 630 of
1 1 9 10 91 852 612 892 630 the
1 1 9 11 62 909 609 1167 631 McFadden-Satchler
1 1 9 12 96 1182 609 1306 636 potential,
1 1 9 13 96 1325 616 1355 630 an
1 1 9 14 96 1371 616 1456 636 energy
1 1 10 1 96 198 645 331 672 dependent
1 1 10 2 96 350 645 512 666 modification
1 1 10 3 95 529 652 576 666 was
1 1 10 4 95 593 645 696 672 recently
1 1 10 5 95 713 645 894 666 recommended
1 1 10 6 50 914 643 963 674 [12].
1 1 10 7 50 997 645 1047 666 The
1 1 10 8 96 1065 645 1139 672 depth
1 1 10 9 96 1156 645 1181 666 of
1 1 10 10 96 1196 645 1237 666 the
1 1 10 11 96 1254 646 1385 672 imaginary
1 1 10 12 96 1402 647 1455 672 part
1 1 11 1 96 197 688 244 702 was
1 1 11 2 96 261 681 373 702 modified
1 1 11 3 96 389 682 457 708 using
1 1 11 4 93 474 688 487 702 a
1 1 11 5 91 504 681 647 708 Fermi-type
1 1 11 6 96 663 681 771 702 function
1 1 11 7 96 787 681 845 702 with
1 1 11 8 92 861 688 875 702 a
1 1 11 9 92 891 681 1029 702 diffuseness
1 1 11 10 94 1045 684 1179 708 parameter
1 1 11 11 93 1196 689 1236 707 ag.
1 1 11 12 95 1269 681 1361 703 Several
1 1 11 13 95 1377 683 1455 702 recent
1 1 12 1 96 198 718 355 744 experiments
1 1 12 2 95 372 717 475 738 indicate
1 1 12 3 96 491 717 544 738 that
1 1 12 4 96 561 717 609 738 this
1 1 12 5 96 625 717 788 738 modification
1 1 12 6 95 805 717 868 738 leads
1 1 12 7 96 885 720 910 738 to
1 1 12 8 95 927 724 941 738 a
1 1 12 9 96 957 717 1036 738 better
1 1 12 10 96 1052 717 1220 744 reproduction
1 1 12 11 96 1236 717 1261 738 of
1 1 12 12 96 1275 717 1316 738 the
1 1 12 13 96 1333 717 1456 738 measured
1 1 13 1 96 198 753 255 774 data
1 1 13 2 96 272 752 319 781 (see
1 1 13 3 93 334 760 377 780 e.g.
1 1 13 4 93 407 751 447 782 [13]
1 1 13 5 96 466 753 512 774 and
1 1 13 6 96 528 753 655 774 references
1 1 13 7 95 671 752 780 781 therein).
1 1 13 8 96 808 753 835 774 In
1 1 13 9 96 849 755 890 774 the
1 1 13 10 96 905 756 998 780 present
