block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 151 153 230 178 crystal
1 1 1 2 93 241 153 333 172 without
1 1 1 3 90 344 153 498 172 time-reversal
1 1 1 4 96 509 155 632 178 symmetry.
1 1 1 5 96 648 152 707 173 Once
1 1 1 6 96 719 153 788 178 again,
1 1 1 7 96 800 160 830 172 we
1 1 2 1 96 150 185 272 209 emphasize
1 1 2 2 96 284 185 333 204 that
1 1 2 3 96 345 185 388 204 this
1 1 2 4 96 400 184 461 204 effect
1 1 2 5 96 473 185 544 204 would
1 1 2 6 96 555 185 582 204 be
1 1 2 7 96 594 185 669 204 absent
1 1 2 8 96 682 185 704 204 in
1 1 2 9 96 715 185 752 204 the
1 1 2 10 96 764 185 830 204 linear
1 1 3 1 95 151 216 325 240 approximation
1 1 3 2 96 336 215 359 235 of
1 1 3 3 96 368 216 405 235 the
1 1 3 4 96 417 222 495 241 energy
1 1 3 5 96 506 218 616 240 spectrum
1 1 3 6 96 628 216 711 235 around
1 1 3 7 96 722 216 759 235 the
1 1 3 8 93 770 216 830 241 Weyl
1 1 4 1 95 151 248 224 267 nodes.
1 2 1 1 91 171 279 195 296 E.
1 2 1 2 96 228 279 336 296 Reversal
1 2 1 3 96 347 278 373 296 of
1 2 1 4 96 381 279 421 296 the
1 2 1 5 96 432 279 545 296 direction
1 2 1 6 96 556 278 581 296 of
1 2 1 7 96 590 279 646 301 light
1 2 1 8 96 658 279 810 301 propagation
2 1 1 1 96 179 349 237 368 Thus
2 1 1 2 96 249 348 287 373 far,
2 1 1 3 96 300 356 330 368 we
2 1 1 4 95 342 349 395 368 have
2 1 1 5 95 407 349 507 368 assumed
2 1 1 6 96 519 349 567 368 that
2 1 1 7 96 579 349 616 368 the
2 1 1 8 96 628 349 733 368 direction
2 1 1 9 96 744 348 767 368 of
2 1 1 10 96 777 349 829 374 light
2 1 2 1 96 150 381 294 405 propagation
2 1 2 2 96 306 380 323 399 is
2 1 2 3 96 336 380 399 405 along
2 1 2 4 96 411 380 448 399 the
2 1 2 5 93 460 380 552 404 positive
2 1 2 6 93 565 387 576 399 z
2 1 2 7 96 589 380 700 399 direction.
2 1 2 8 96 720 380 740 399 If
2 1 2 9 93 750 380 787 399 the
2 1 2 10 93 799 380 829 399 di-
2 1 3 1 95 150 413 232 431 rection
2 1 3 2 96 243 411 267 431 of
2 1 3 3 96 276 412 419 437 propagation
2 1 3 4 96 430 413 447 431 is
2 1 3 5 96 458 412 562 436 reversed,
2 1 3 6 96 575 412 612 431 the
2 1 3 7 96 623 412 677 431 roles
2 1 3 8 96 689 411 712 431 of
2 1 3 9 96 721 411 775 432 LCP
2 1 3 10 96 787 412 830 431 and
2 1 4 1 95 151 443 207 464 RCP
2 1 4 2 95 218 451 253 463 are
2 1 4 3 12 263 433 417 474 exchanged]
2 1 4 4 96 420 444 462 463 and
2 1 4 5 96 472 444 626 469 consequently
2 1 4 6 96 635 444 672 463 the
2 1 4 7 93 682 444 750 469 valley
2 1 4 8 92 760 444 829 468 polar-
2 1 5 1 96 151 477 231 495 ization
2 1 5 2 96 244 476 261 495 is
2 1 5 3 96 274 476 377 495 reversed.
2 1 5 4 95 399 476 423 495 In
2 1 5 5 95 436 476 498 495 other
2 1 5 6 96 510 476 586 500 words,
2 1 5 7 96 601 475 655 496 LCP
2 1 5 8 96 669 476 711 495 and
2 1 5 9 95 725 475 781 496 RCP
2 1 5 10 95 795 483 830 495 are
2 1 6 1 96 150 508 274 533 exchanged
2 1 6 2 96 288 508 310 527 in
2 1 6 3 93 324 508 378 533 Figs.
2 1 6 4 72 385 504 416 537 |7|
2 1 6 5 72 421 508 464 527 and
2 1 6 6 26 470 504 501 537 |9|
2 1 6 7 96 513 508 575 527 while
2 1 6 8 96 589 508 626 527 the
2 1 6 9 95 640 508 702 527 small
2 1 6 10 96 716 508 759 527 and
2 1 6 11 96 773 508 830 533 large
2 1 7 1 96 150 540 212 559 black
2 1 7 2 96 223 540 295 559 circles
2 1 7 3 96 307 547 341 559 are
2 1 7 4 96 352 540 475 565 exchanged
2 1 7 5 96 486 541 508 559 in
2 1 7 6 96 519 540 574 565 Figs.
2 1 7 7 64 577 532 618 573 [LO]
2 1 7 8 95 628 547 658 559 and
2 1 7 9 68 669 532 711 573 [17]
2 2 1 1 66 286 571 324 588 IV.
2 2 1 2 91 357 571 552 588 ANALYTICAL
2 2 1 3 96 564 570 694 588 RESULTS
3 1 1 1 96 178 640 224 659 The
3 1 1 2 96 235 640 342 665 objective
3 1 1 3 97 352 639 375 659 of
3 1 1 4 96 383 640 426 659 this
3 1 1 5 96 437 640 519 659 section
3 1 1 6 96 529 640 546 659 is
3 1 1 7 96 556 642 579 659 to
3 1 1 8 96 590 642 681 664 support
3 1 1 9 93 692 640 735 659 and
3 1 1 10 92 745 640 829 664 supple-
4 1 1 1 95 150 716 831 717 " "
5 1 1 1 30 331 824 347 843 IPP
5 1 1 2 54 369 828 377 837 %z
6 1 1 1 96 1536 82 1560 101 13
7 1 1 1 96 881 155 940 172 ment
7 1 1 2 96 951 153 988 172 the
7 1 1 3 96 998 153 1115 172 numerical
7 1 1 4 96 1125 153 1202 172 results
7 1 1 5 96 1213 152 1236 172 of
7 1 1 6 96 1244 153 1281 172 the
7 1 1 7 96 1291 153 1406 178 preceding
7 1 1 8 96 1416 154 1498 172 section
7 1 1 9 96 1508 153 1561 172 with
7 1 2 1 88 882 192 894 204 a
7 1 2 2 88 902 185 1016 209 simplified
7 1 2 3 96 1025 185 1141 210 analytical
7 1 2 4 96 1149 185 1243 204 solution
7 1 2 5 96 1251 184 1274 204 of
7 1 2 6 95 1281 185 1319 210 Eq.
7 1 2 7 65 1327 175 1383 219 (40).
7 1 2 8 95 1398 184 1444 205 Our
7 1 2 9 95 1452 185 1561 209 approach
7 1 3 1 96 881 217 898 235 is
7 1 3 2 96 910 216 982 241 partly
7 1 3 3 96 993 216 1074 235 related
7 1 3 4 96 1085 218 1109 235 to
7 1 3 5 96 1120 216 1168 235 that
7 1 3 6 97 1181 215 1204 235 of
7 1 3 7 96 1213 216 1258 236 Ref.
7 1 3 8 82 1274 214 1319 242 [33],
7 1 3 9 96 1332 216 1401 235 which
7 1 3 10 93 1412 216 1498 235 studied
7 1 3 11 92 1510 218 1560 235 two-
7 1 4 1 96 881 248 975 267 electron
7 1 4 2 96 987 248 1062 267 bound
7 1 4 3 96 1074 250 1148 268 states.
7 1 4 4 96 1168 248 1214 267 The
7 1 4 5 96 1226 249 1285 267 main
7 1 4 6 95 1297 248 1457 272 simplification
7 1 4 7 96 1469 248 1560 267 consists
7 1 5 1 97 881 279 904 299 of
7 1 5 2 96 911 280 1019 305 replacing
