block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 0 595 264 680 291 (1-8)
1 1 1 2 0 691 258 742 289 6)
1 1 1 3 95 765 267 781 288 >
1 1 1 4 90 793 258 831 286 6
1 1 1 5 73 844 276 860 278 —
1 1 1 6 3 870 262 1016 291 py/(G)2
1 1 1 7 91 1003 252 1018 295 +
1 1 1 8 60 1027 262 1105 291 (0M)2,
1 1 1 9 96 1439 263 1497 291 (157)
2 1 1 1 0 601 318 754 352 (1-80)
2 1 1 2 78 767 328 784 350 <
2 1 1 3 54 795 320 831 346 0
2 1 1 4 82 843 330 861 348 +
2 1 1 5 0 870 324 1016 353 py/(G)2
2 1 1 6 91 1002 314 1017 359 +
2 1 1 7 0 1027 324 1105 353 (2,
2 1 1 8 96 1439 325 1497 353 (158)
3 1 1 1 96 242 410 311 429 where
3 1 1 2 65 322 417 337 435 ji
3 1 1 3 96 348 411 365 429 is
3 1 1 4 96 376 410 413 429 the
3 1 1 5 96 424 417 492 435 upper
3 1 1 6 96 503 410 577 429 bound
3 1 1 7 96 588 409 611 429 of
3 1 1 8 96 619 412 675 429 term
3 1 1 9 0 686 403 780 436 (1.5)
3 1 1 10 77 813 401 827 438 |
3 1 1 11 93 838 413 856 431 +
3 1 1 12 46 867 401 930 436 JA
3 1 1 13 0 938 406 1041 436 TY]
3 1 1 14 95 1055 410 1098 429 and
3 1 1 15 95 1109 416 1149 429 can
3 1 1 16 95 1159 410 1186 429 be
3 1 1 17 95 1197 410 1300 429 obtained
3 1 1 18 96 1310 410 1339 435 by
4 1 1 1 71 731 472 774 502 p=
4 1 1 2 81 785 475 877 503 npSP(4
4 1 1 3 96 886 480 904 498 +
4 1 1 4 16 913 476 967 503 626).
4 1 1 5 96 1439 475 1497 503 (159)
5 1 1 1 96 202 591 363 616 Quantifying
5 1 1 2 96 375 591 418 610 the
5 1 1 3 95 431 591 510 610 Norm
5 1 1 4 93 522 591 549 610 of
5 1 1 5 48 558 586 598 610 v“)
5 1 1 6 96 613 591 747 616 Projected
5 1 1 7 94 759 592 785 610 at
5 1 1 8 93 798 591 918 610 Different
5 1 1 9 92 933 591 1078 615 Subspaces:
5 1 1 10 96 1108 591 1178 615 Then,
5 1 1 11 96 1189 598 1220 610 we
5 1 1 12 96 1231 591 1274 610 will
5 1 1 13 96 1284 598 1322 610 use
5 1 1 14 96 1333 591 1499 610 mathematical
5 1 2 1 96 201 624 313 643 induction
5 1 2 2 96 323 626 347 643 to
5 1 2 3 96 357 630 421 648 prove
6 1 1 1 50 766 684 802 709 A)
6 1 1 2 40 816 691 833 713 <
6 1 1 3 20 844 684 932 715 Apto.
6 1 1 4 96 1439 688 1497 716 (160)
7 1 1 1 0 513 772 516 775 *
7 1 1 2 0 647 760 684 773 (i15)
7 1 2 1 96 242 772 261 791 It
7 1 2 2 94 272 773 289 791 is
7 1 2 3 94 300 774 348 791 true
7 1 2 4 93 358 772 420 791 when
7 1 2 5 90 431 774 439 791 t
7 1 2 6 94 449 781 467 787 =
7 1 2 7 94 478 773 490 792 0
7 1 2 8 95 500 778 558 791 since
7 1 2 9 50 563 763 594 802 ||
7 1 2 10 50 621 767 635 798 ||
7 1 2 11 52 642 751 689 798 (2)
7 1 2 12 62 700 772 718 792 9,
7 1 3 1 96 242 804 359 830 Assuming
7 1 3 2 96 369 805 418 824 that
7 1 3 3 96 429 805 532 829 equation
7 1 3 4 93 546 805 600 825 (160)
7 1 3 5 96 615 806 631 824 is
7 1 3 6 96 642 808 690 824 true
7 1 3 7 96 701 807 723 824 at
7 1 3 8 93 734 805 772 824 the
7 1 3 9 89 782 805 817 824 tth
7 1 3 10 96 828 805 935 829 iteration,
7 1 3 11 96 947 812 977 824 we
7 1 3 12 96 988 805 1042 824 need
7 1 3 13 96 1053 807 1076 824 to
7 1 3 14 96 1086 812 1151 829 prove
8 1 1 1 54 704 865 768 891 OD
8 1 1 2 63 781 873 798 895 <
8 1 1 3 4 809 870 885 898 au(t+
8 1 1 4 38 896 865 995 898 Yo,
8 1 1 5 96 1439 870 1497 898 (161)
9 1 1 1 96 242 944 352 978 Applying
9 1 1 2 93 435 949 480 968 into
9 1 1 3 92 491 948 545 969 RHS
9 1 1 4 97 557 948 579 968 of
9 1 1 5 17 588 939 658 983 (i6i),
9 1 1 6 95 670 956 700 968 we
9 1 1 7 95 711 949 764 968 have
10 1 1 1 71 501 1024 577 1050 4u(t
10 1 1 2 75 565 1014 580 1057 +
10 1 1 3 7 588 1018 678 1050 1)o*)
10 1 1 4 96 691 1026 708 1048 >
10 1 1 5 38 722 1005 831 1068 oe
10 1 1 6 36 845 1004 952 1070 (0-1
10 1 1 7 0 984 1022 1084 1051 (o)2
10 1 1 8 93 1073 1014 1084 1057 +
10 1 1 9 43 1095 1022 1152 1051 (0)
10 1 1 10 18 1156 1004 1198 1070 ),
10 1 1 11 96 1439 1023 1497 1051 (162)
11 1 1 1 96 243 1101 285 1120 and
11 1 1 2 96 296 1101 440 1126 substituting
11 1 1 3 96 454 1099 508 1129 (158)
11 1 1 4 95 523 1102 568 1120 into
11 1 1 5 96 579 1100 630 1121 LHS
11 1 1 6 96 641 1100 664 1120 of
11 1 1 7 86 679 1099 743 1129 (161),
11 1 1 8 96 755 1108 785 1120 we
11 1 1 9 96 796 1101 849 1120 have
12 1 1 1 38 606 1176 670 1202 pF)
12 1 1 2 82 684 1185 701 1200 <
12 1 1 3 67 717 1159 817 1190 (Auto)
12 1 1 4 86 829 1167 845 1185 +
12 1 1 5 8 863 1155 897 1200 w/
12 1 1 6 8 900 1161 973 1190 (GOP
12 1 1 7 87 986 1167 1001 1185 +
12 1 1 8 64 1036 1161 1081 1190 OOP
13 1 1 1 96 1450 1183 1488 1203 163
13 1 2 1 0 867 1199 931 1226 _#
13 1 2 2 96 1439 1181 1497 1209 (163)
14 1 1 1 95 714 1195 1084 1196 " "
15 1 1 1 96 243 1260 312 1284 Then,
15 1 1 2 96 323 1266 363 1279 our
15 1 1 3 96 373 1260 423 1285 goal
15 1 1 4 96 433 1261 450 1279 is
15 1 1 5 96 461 1263 485 1279 to
15 1 1 6 93 495 1266 561 1284 prove
15 1 1 7 92 572 1259 627 1280 RHS
15 1 1 8 95 638 1259 662 1279 of
15 1 1 9 65 676 1257 730 1288 (162)
15 1 1 10 96 745 1260 762 1279 is
15 1 1 11 96 773 1262 858 1285 greater
15 1 1 12 93 868 1260 924 1279 than
15 1 1 13 93 934 1259 989 1280 RHS
15 1 1 14 96 1001 1259 1024 1279 of
15 1 1 15 95 1039 1257 1103 1288 (163).
15 1 1 16 96 1118 1259 1181 1279 After
15 1 1 17 96 1192 1266 1252 1279 some
15 1 1 18 96 1262 1260 1442 1284 manipulations,
15 1 1 19 96 1454 1260 1470 1279 it
15 1 1 20 96 1482 1261 1499 1279 is
15 1 2 1 96 201 1292 305 1312 sufficient
15 1 2 2 96 317 1295 340 1312 to
15 1 2 3 96 351 1293 409 1312 show
16 1 1 1 33 583 1367 630 1395 a+
16 1 1 2 33 639 1367 689 1395 ante
16 1 1 3 37 698 1372 715 1390 +
16 1 1 4 36 726 1368 756 1395 my
16 1 1 5 0 769 1348 886 1414 (YOR
16 1 1 6 0 897 1372 914 1390 +
16 1 1 7 54 925 1348 1012 1414 OOP)
16 1 1 8 74 1028 1371 1045 1392 <
16 1 1 9 63 1056 1363 1117 1390 490.
16 1 1 10 89 1439 1367 1497 1395 (164)
16 1 2 1 96 242 1446 266 1465 In
16 1 2 2 96 277 1446 313 1465 the
16 1 2 3 96 325 1445 437 1471 following,
16 1 2 4 96 448 1453 479 1465 we
16 1 2 5 95 489 1446 531 1465 will
16 1 2 6 95 542 1446 600 1465 show
16 1 2 7 96 610 1446 659 1465 that
16 1 2 8 96 670 1446 707 1465 the
16 1 2 9 96 718 1446 786 1465 above
16 1 2 10 96 796 1446 887 1465 relation
