block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 1479 87 1499 102 70
2 1 1 1 94 234 430 260 452 In
2 1 1 2 94 271 429 327 456 fact,
2 1 1 3 92 339 429 360 452 if
2 1 1 4 17 369 437 425 459 ysm
2 1 1 5 91 439 434 455 453 €
2 1 1 6 96 470 427 545 460 {1,3}
2 1 1 7 96 558 429 597 452 for
2 1 1 8 93 608 437 676 452 some
2 1 1 9 85 688 428 762 460 vp(k)
2 1 1 10 76 777 431 797 457 <
2 1 1 11 76 811 437 837 452 m
2 1 1 12 66 850 435 907 456 <n,
2 1 1 13 96 920 429 976 452 then
2 1 1 14 96 987 430 1026 452 the
2 1 1 15 96 1037 430 1078 453 PU
2 1 1 16 96 1089 430 1175 459 packet
2 1 1 17 96 1186 429 1206 452 is
2 1 1 18 96 1219 429 1378 459 successfully
2 1 1 19 96 1390 429 1499 452 decoded
2 1 2 1 96 200 487 225 510 in
2 1 2 2 89 239 488 285 510 slot
2 1 2 3 89 299 495 333 514 m;
2 1 2 4 96 349 487 470 517 similarly,
2 1 2 5 96 484 487 505 510 if
2 1 2 6 58 517 495 572 519 ys,
2 1 2 7 87 587 492 603 511 €
2 1 2 8 90 619 485 724 518 {5,6,7}
2 1 2 9 96 740 487 778 510 for
2 1 2 10 93 792 495 859 510 some
2 1 2 11 77 874 485 948 518 vp(k)
2 1 2 12 39 973 489 983 515 <
2 1 2 13 15 997 495 1024 510 _m
2 1 2 14 64 1037 492 1095 514 <n,
2 1 2 15 96 1110 488 1166 510 then
2 1 2 16 96 1179 487 1218 510 the
2 1 2 17 96 1232 488 1273 511 PU
2 1 2 18 96 1286 487 1371 517 packet
2 1 2 19 96 1385 488 1499 510 becomes
2 1 3 1 96 201 545 334 568 connected
2 1 3 2 96 346 549 370 568 to
2 1 3 3 96 382 546 421 568 the
2 1 3 4 96 433 549 486 568 root
2 1 3 5 96 497 545 526 568 of
2 1 3 6 96 535 545 574 568 the
2 1 3 7 96 587 545 631 569 CD
2 1 3 8 96 643 546 724 575 graph.
2 1 3 9 96 738 545 900 575 Specializing
2 1 3 10 96 913 546 982 574 (151)
2 1 3 11 96 995 549 1019 568 to
2 1 3 12 97 1031 545 1077 568 this
2 1 3 13 96 1090 553 1145 568 case
2 1 3 14 96 1157 545 1204 568 and
2 1 3 15 96 1215 545 1286 575 using
2 1 3 16 95 1299 546 1376 574 (152),
2 1 3 17 96 1389 553 1426 568 we
2 1 3 18 96 1438 545 1499 568 need
3 1 1 1 96 200 606 225 625 to
3 1 1 2 96 238 610 311 632 prove
3 1 1 3 96 324 602 363 625 the
3 1 1 4 96 376 602 499 625 recursion
4 1 1 1 96 234 902 260 924 In
4 1 1 2 96 272 901 327 928 fact,
4 1 1 3 94 340 901 361 924 if
4 1 1 4 0 371 909 420 933 yn
4 1 1 5 86 434 906 450 925 €
4 1 1 6 92 465 899 502 932 {1,
4 1 1 7 96 512 899 549 932 2},
4 1 1 8 96 562 901 601 924 the
4 1 1 9 96 613 905 665 924 root
4 1 1 10 96 677 901 697 924 is
4 1 1 11 96 710 901 870 931 successfully
4 1 1 12 96 882 901 991 924 decoded
