block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 287 367 341 390 The
1 1 1 2 96 353 370 439 390 tensor
1 1 1 3 96 452 370 618 397 components
1 1 1 4 93 631 367 657 390 of
1 1 1 5 75 669 365 731 398 ®(x)
1 1 1 6 96 747 375 788 390 are
1 1 1 7 96 800 367 886 397 finally
1 1 1 8 96 899 367 942 390 the
1 1 1 9 96 955 368 1066 390 numeric
1 1 1 10 95 1079 368 1216 397 quantities
1 1 1 11 96 1229 367 1310 390 which
1 1 1 12 96 1323 375 1364 390 are
1 1 2 1 95 287 408 419 431 measured
1 1 2 2 96 431 409 457 431 in
1 1 2 3 95 470 416 502 431 an
1 1 2 4 96 514 409 678 438 experiment.
1 2 1 1 95 336 448 390 471 The
1 2 1 2 92 402 448 480 471 frame
1 2 1 3 92 493 448 509 478 f
1 2 1 4 96 522 448 614 471 chosen
1 2 1 5 96 625 448 658 478 by
1 2 1 6 96 671 456 703 471 an
1 2 1 7 96 715 448 830 471 observer
1 2 1 8 96 842 451 870 471 to
1 2 1 9 96 882 448 954 471 make
1 2 1 10 96 966 451 1164 471 measurements
1 2 1 11 96 1176 449 1196 471 is
1 2 1 12 96 1208 448 1307 478 usually
1 2 1 13 96 1319 451 1363 471 not
1 2 2 1 96 287 488 438 518 completely
1 2 2 2 96 451 488 581 518 arbitrary.
1 2 2 3 96 603 488 674 512 Since
1 2 2 4 96 688 488 731 511 the
1 2 2 5 96 745 488 812 511 basis
1 2 2 6 93 825 491 923 511 vectors
1 2 2 7 91 938 488 959 518 f;
1 2 2 8 96 975 496 1016 511 are
1 2 2 9 94 1029 488 1149 511 elements
1 2 2 10 96 1163 488 1190 511 of
1 2 2 11 96 1201 488 1245 511 the
1 2 2 12 96 1258 491 1363 518 tangent
1 2 3 1 96 287 536 368 558 space,
1 2 3 2 96 388 528 449 558 they
1 2 3 3 96 466 536 507 551 are
1 2 3 4 96 525 528 710 551 characterized
1 2 3 5 96 727 536 754 551 as
1 2 3 6 96 771 528 846 558 being
1 2 3 7 93 863 528 981 557 timelike,
1 2 3 8 93 1001 528 1112 558 lightlike
1 2 3 9 96 1129 536 1156 551 or
1 2 3 10 96 1173 528 1296 558 spacelike
1 2 3 11 96 1314 528 1364 551 and
1 2 4 1 96 287 576 385 598 possess
1 2 4 2 96 399 569 467 591 units
1 2 4 3 96 480 568 506 591 of
1 2 4 4 96 517 569 579 591 time
1 2 4 5 96 591 576 618 591 or
1 2 4 6 96 631 568 725 598 length.
1 2 4 7 96 743 568 787 592 We
1 2 4 8 96 800 576 847 591 can
1 2 4 9 96 859 568 918 591 thus
1 2 4 10 96 931 576 974 591 use
1 2 4 11 96 987 568 1030 591 the
1 2 4 12 96 1043 569 1144 591 notions
1 2 4 13 96 1157 568 1184 591 of
1 2 4 14 96 1194 569 1263 597 time,
1 2 4 15 96 1277 568 1364 598 length
1 2 5 1 96 287 608 337 631 and
1 2 5 2 96 350 608 435 638 angles
1 2 5 3 96 448 608 547 631 defined
1 2 5 4 96 560 608 592 638 by
1 2 5 5 96 604 608 648 631 the
1 2 5 6 95 660 609 798 638 spacetime
1 2 5 7 96 810 609 899 631 metric
1 2 5 8 96 912 611 939 631 to
1 2 5 9 96 951 608 1042 631 choose
1 2 5 10 96 1055 616 1087 631 an
1 2 5 11 96 1099 608 1273 631 orthonormal
1 2 5 12 96 1285 608 1364 631 frame
1 2 6 1 96 287 648 419 678 satisfying
1 2 6 2 96 431 648 475 671 the
1 2 6 3 96 488 648 618 671 condition
2 1 1 1 37 734 723 835 765 arf
2 1 1 2 24 815 719 837 770 fy
2 1 1 3 72 848 740 870 748 =
2 1 1 4 66 882 737 914 762 Nij
2 1 1 5 92 1301 727 1362 760 (1.7)
3 1 1 1 96 335 827 397 850 with
3 1 1 2 96 409 835 456 850 one
3 1 1 3 96 468 828 523 850 unit
3 1 1 4 96 536 827 647 850 timelike
3 1 1 5 96 658 830 743 850 vector
3 1 1 6 78 756 827 782 857 fp
