block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 38 707 417 778 444 u(a~)
1 1 1 2 84 790 427 808 433 =
1 1 1 3 32 818 414 897 443 u(a*),
1 1 1 4 96 1247 416 1299 444 (2.9)
2 1 1 1 0 687 476 778 503 (x2)
2 1 1 2 84 790 486 889 492 =kp(w)
2 1 1 3 14 914 475 994 503 (a).
2 1 1 4 95 1233 475 1299 503 (2.10)
3 1 1 1 96 389 572 435 591 The
3 1 1 2 96 445 572 545 591 notation
3 1 1 3 65 555 567 588 591 2+
3 1 1 4 96 601 579 675 591 means
3 1 1 5 93 685 572 722 591 the
3 1 1 6 89 732 573 869 597 inner/outer
3 1 1 7 95 879 572 934 591 limit
3 1 1 8 95 945 574 967 591 at
3 1 1 9 95 978 572 1015 591 the
3 1 1 10 96 1025 572 1139 597 boundary
3 1 1 11 96 1149 571 1172 591 of
3 1 1 12 56 1180 571 1224 592 0D.
3 1 1 13 96 1240 572 1301 591 More
3 1 2 1 96 347 605 454 630 precisely,
3 1 2 2 96 466 604 498 624 for
3 1 2 3 96 509 612 521 624 a
3 1 2 4 93 531 604 629 624 function
3 1 2 5 93 640 612 658 624 w
3 1 2 6 96 670 604 754 624 defined
3 1 2 7 92 765 612 793 624 on
3 1 2 8 82 803 600 841 629 R¢,
3 1 2 9 96 853 611 893 624 one
3 1 2 10 96 904 605 942 624 has
4 1 1 1 95 845 672 847 690 " "
5 1 1 1 74 664 666 689 697 +)
5 1 1 2 65 701 680 720 687 =
5 1 1 3 65 733 671 771 690 lim
5 1 1 4 47 780 669 913 697 w(a@thv),
5 1 1 5 72 936 675 977 691 «€
5 1 1 6 71 988 670 1033 695 0D,
5 1 1 7 96 1233 669 1299 697 (2.11)
6 1 1 1 36 614 670 661 696 w(a
6 1 2 1 17 730 694 774 708 ho
6 1 3 1 93 389 754 458 773 where
6 1 3 2 90 469 760 485 773 v
6 1 3 3 96 496 755 513 773 is
6 1 3 4 96 524 754 560 773 the
6 1 3 5 96 571 754 668 773 outward
6 1 3 6 96 679 754 762 773 normal
6 1 3 7 96 773 754 820 773 unit
6 1 3 8 96 831 756 904 773 vector
6 1 3 9 96 914 753 937 773 of
6 1 3 10 69 946 753 990 774 OD.
6 1 4 1 96 348 785 369 813 2)
6 1 4 2 96 381 787 428 806 The
6 1 4 3 96 438 787 553 812 boundary
6 1 4 4 95 563 787 685 806 conditions
6 1 4 5 96 696 793 744 806 over
6 1 4 6 96 755 787 792 806 the
6 1 4 7 96 803 787 850 806 skin
6 1 4 8 96 862 793 896 806 are
6 1 4 9 96 908 794 921 806 a
6 1 4 10 96 931 787 963 806 bit
6 1 4 11 96 974 793 1032 806 more
6 1 4 12 96 1044 787 1187 811 complicated
6 1 4 13 93 1199 785 1242 813 (see
6 1 4 14 93 1253 787 1300 812 Fig-
6 1 5 1 83 347 811 423 855 ure[2).
6 1 5 2 96 439 821 491 840 This
6 1 5 3 96 501 821 518 840 is
6 1 5 4 96 528 821 569 840 due
6 1 5 5 96 579 823 602 840 to
6 1 5 6 96 612 821 649 840 the
6 1 5 7 96 659 820 702 840 fact
6 1 5 8 96 712 821 768 845 that,
6 1 5 9 96 779 821 895 845 compared
6 1 5 10 96 904 823 928 840 to
6 1 5 11 96 937 821 974 840 the
6 1 5 12 96 984 823 1050 840 water
6 1 5 13 96 1059 821 1128 840 which
6 1 5 14 96 1138 821 1176 840 has
6 1 5 15 93 1186 827 1199 840 a
6 1 5 16 91 1208 821 1300 840 conduc-
7 1 1 1 95 444 883 1212 1340 " "
8 1 1 1 96 552 1394 629 1419 Figure
8 1 1 2 96 640 1394 658 1413 2:
8 1 1 3 95 674 1394 791 1419 Boundary
8 1 1 4 95 802 1394 923 1413 conditions
8 1 1 5 96 934 1400 982 1413 over
8 1 1 6 96 993 1394 1030 1413 the
8 1 1 7 96 1041 1394 1094 1413 skin.
9 1 1 1 97 347 1459 411 1484 tivity
9 1 1 2 97 420 1458 444 1478 of
9 1 1 3 96 450 1459 488 1478 the
9 1 1 4 97 497 1459 559 1478 order
9 1 1 5 93 568 1458 591 1478 of
9 1 1 6 12 598 1455 726 1479 0.01S-m~!
9 1 1 7 92 739 1456 785 1485 [35],
9 1 1 8 96 796 1459 833 1478 the
9 1 1 9 96 842 1459 890 1478 skin
9 1 1 10 96 899 1459 916 1478 is
9 1 1 11 95 925 1465 976 1484 very
9 1 1 12 92 985 1459 1080 1478 resistive
9 1 1 13 47 1092 1455 1236 1485 (10-4S-m71
9 1 1 14 67 1250 1457 1299 1485 [20])
9 1 2 1 96 348 1492 390 1511 and
9 1 2 2 96 401 1492 438 1511 the
9 1 2 3 96 449 1492 508 1517 body
9 1 2 4 96 519 1492 536 1511 is
9 1 2 5 96 546 1498 597 1517 very
9 1 2 6 95 607 1492 735 1511 conductive
9 1 2 7 47 748 1490 796 1518 (1S:
