block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 352 270 362 283 4
1 1 1 2 91 474 269 592 283 KAZUHIRO
1 1 1 3 90 601 269 718 287 ICHIHARA,
1 1 1 4 96 728 269 828 284 MAKOTO
1 1 1 5 96 838 269 922 286 OZAWA,
1 1 1 6 96 932 269 979 283 AND
1 1 1 7 92 990 270 1004 283 J.
1 1 1 8 91 1015 269 1079 283 HYAM
1 1 1 9 96 1089 269 1225 284 RUBINSTEIN
2 1 1 1 93 780 737 872 757 FIGURE
2 1 1 2 73 887 738 905 756 l.
3 1 1 1 96 353 823 434 842 Claim
3 1 1 2 96 446 824 468 842 2.
3 1 1 3 96 488 823 553 842 There
3 1 1 4 96 566 830 600 842 are
3 1 1 5 96 613 830 640 842 no
3 1 1 6 96 653 824 795 848 compressing
3 1 1 7 96 807 823 863 842 disks
3 1 1 8 96 872 822 908 848 for
3 1 1 9 80 918 822 947 846 Sy
3 1 1 10 80 982 823 1024 848 M4
3 1 1 11 93 1039 824 1061 842 in
3 1 1 12 87 1072 819 1117 850 H}.
4 1 1 1 96 354 877 422 903 Proof.
4 1 1 2 96 439 877 458 897 If
4 1 1 3 96 465 878 517 897 such
4 1 1 4 96 526 884 539 897 a
4 1 1 5 96 548 878 693 903 compressing
4 1 1 6 97 702 878 749 897 disk
4 1 1 7 96 758 878 823 897 exists
4 1 1 8 95 833 878 854 897 in
4 1 1 9 40 864 874 908 905 Hj),
4 1 1 10 96 919 878 972 897 then
4 1 1 11 96 981 878 1041 897 there
4 1 1 12 96 1050 879 1115 897 exists
4 1 1 13 96 1125 885 1138 897 a
4 1 1 14 95 1146 879 1291 903 compressing
4 1 1 15 96 1300 878 1348 897 disk
4 1 2 1 93 352 913 374 932 in
4 1 2 2 21 385 912 433 936 S$,
4 1 2 3 76 442 913 482 938 M,
4 1 2 4 93 495 914 517 932 in
4 1 2 5 90 528 909 561 939 H}
4 1 2 6 93 574 912 606 932 for
4 1 2 7 92 616 915 624 932 t
