block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 201 194 265 217 from
1 1 1 2 93 279 194 322 217 the
1 1 1 3 92 336 194 391 217 left-
1 1 1 4 96 406 194 456 217 and
1 1 1 5 96 470 194 650 224 right-handed
1 1 1 6 96 665 194 794 224 couplings
1 1 1 7 96 809 194 940 217 extracted
1 1 1 8 93 954 194 1018 217 from
1 1 1 9 91 1032 194 1284 217 forward-backward
1 1 1 10 96 1299 195 1473 224 asymmetries
1 1 1 11 96 1487 194 1538 217 and
1 1 2 1 96 201 234 290 264 charge
1 1 2 2 96 303 235 477 264 asymmetries
1 1 2 3 93 490 235 515 257 in
1 1 2 4 92 528 234 695 257 two-fermion
1 1 2 5 96 707 242 843 264 processes,
1 1 2 6 93 857 234 971 257 different
1 1 2 7 91 985 234 1122 264 high-scale
1 1 2 8 96 1135 234 1232 257 models
1 1 2 9 95 1244 242 1291 257 can
1 1 2 10 95 1304 234 1335 257 be
1 1 2 11 96 1348 234 1538 257 discriminated
1 1 3 1 96 203 273 243 305 (cf.
1 1 3 2 93 258 282 303 304 e.g.
1 1 3 3 87 320 272 386 305 [25]).
1 2 1 1 96 251 314 306 338 One
1 2 1 2 96 317 314 377 337 final
1 2 1 3 96 389 314 494 337 remark:
1 2 1 4 96 512 314 532 337 if
1 2 1 5 96 541 314 685 344 something
1 2 1 6 96 696 314 790 337 similar
1 2 1 7 96 802 314 849 337 like
1 2 1 8 96 861 314 904 337 the
1 2 1 9 75 926 315 930 337 2
1 2 1 10 75 943 314 1001 338 TeV
1 2 1 11 95 1013 314 1131 344 anomaly
1 2 1 12 93 1142 315 1168 337 in
1 2 1 13 86 1181 312 1358 345 WW/WZ/ZZ
1 2 1 14 96 1395 317 1421 337 at
1 2 1 15 96 1433 314 1477 337 the
1 2 1 16 96 1489 314 1538 337 end
1 2 2 1 96 201 355 228 378 of
1 2 2 2 96 237 355 281 378 the
1 2 2 3 96 294 356 307 379 8
1 2 2 4 96 321 355 378 379 TeV
1 2 2 5 95 390 363 438 378 run
1 2 2 6 96 450 363 477 378 or
1 2 2 7 95 489 355 533 378 the
1 2 2 8 95 546 356 592 379 750
1 2 2 9 96 605 355 667 379 GeV
1 2 2 10 96 680 355 798 385 anomaly
1 2 2 11 93 810 356 836 378 in
1 2 2 12 92 848 355 985 385 diphotons
1 2 2 13 96 998 355 1047 378 will
1 2 2 14 96 1059 356 1155 378 remain
1 2 2 15 96 1168 358 1193 378 at
1 2 2 16 95 1207 355 1250 378 the
1 2 2 17 95 1262 355 1311 378 end
1 2 2 18 95 1324 355 1350 378 of
1 2 2 19 96 1360 363 1408 378 run
1 2 2 20 50 1420 355 1442 378 IT
1 2 2 21 96 1455 363 1482 378 or
1 2 2 22 96 1494 355 1538 378 the
1 2 3 1 91 201 395 334 425 high-lumi
1 2 3 2 96 348 403 402 424 run,
1 2 3 3 96 417 395 479 418 then
1 2 3 4 96 492 395 536 418 the
1 2 3 5 96 549 395 602 419 ILC
1 2 3 6 96 616 396 636 418 is
1 2 3 7 96 650 395 693 418 the
1 2 3 8 96 707 395 765 425 only
1 2 3 9 96 779 396 868 425 option
1 2 3 10 95 881 396 906 418 in
1 2 3 11 96 919 395 963 418 the
1 2 3 12 96 976 403 1036 418 near
1 2 3 13 96 1049 395 1133 418 future
1 2 3 14 91 1147 398 1174 418 to
1 2 3 15 91 1188 395 1301 418 comfirm
1 2 3 16 96 1315 403 1342 418 or
1 2 3 17 96 1355 395 1436 418 refute
1 2 3 18 96 1449 395 1510 418 such
1 2 3 19 96 1524 403 1538 418 a
1 2 4 1 96 201 435 287 465 signal.
2 1 1 1 71 202 537 225 569 3
2 1 1 2 89 283 535 506 578 Summary
3 1 1 1 97 250 618 278 641 In
3 1 1 2 96 290 618 341 641 this
3 1 1 3 96 354 618 408 641 talk
3 1 1 4 96 420 618 430 641 I
3 1 1 5 96 443 618 508 641 tried
3 1 1 6 96 521 621 548 641 to
3 1 1 7 96 561 618 649 641 collect
