block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 0 279 306 315 328 L
1 1 1 2 11 545 293 825 341 rr
1 1 1 3 20 957 293 1162 342 rr
2 1 1 1 96 318 478 387 497 where
2 1 1 2 96 397 479 460 503 again
2 1 1 3 96 469 484 499 497 we
2 1 1 4 96 509 478 562 497 have
2 1 1 5 96 572 478 669 502 dropped
2 1 1 6 96 679 478 716 497 the
2 1 1 7 96 725 478 832 502 subscript
2 1 1 8 91 843 477 866 497 of
2 1 1 9 91 873 478 896 497 N
2 1 1 10 96 906 485 934 497 on
2 1 1 11 0 944 469 981 497 gih
3 1 1 1 93 276 523 299 543 of
3 1 1 2 92 308 524 332 543 N
3 1 1 3 55 342 529 366 543 —
3 1 1 4 86 377 531 409 548 oo,
3 1 1 5 96 421 524 464 543 and
3 1 1 6 96 474 531 504 543 we
3 1 1 7 96 515 523 584 543 define
4 1 1 1 96 318 788 380 807 Then
4 1 1 2 96 388 794 418 807 we
4 1 1 3 96 427 788 476 807 take
4 1 1 4 96 485 788 523 807 the
4 1 1 5 93 532 788 588 813 large
4 1 1 6 26 594 775 601 817 é
4 1 1 7 96 614 788 669 807 limit
4 1 1 8 91 679 787 702 807 of
4 1 1 9 0 709 779 848 807 a#:3é+5h—k’
5 1 1 1 96 277 834 319 853 and
5 1 1 2 93 330 835 392 859 using
5 1 1 3 91 406 832 470 862 (B.2),
5 1 1 4 96 482 841 512 853 we
5 1 1 5 96 523 834 599 853 obtain
6 1 1 1 89 985 474 997 491 J
6 1 1 2 96 1009 480 1032 497 to
6 1 1 3 96 1042 478 1136 497 indicate
6 1 1 4 97 1145 484 1175 497 we
6 1 1 5 97 1185 478 1238 497 have
6 1 1 6 96 1247 478 1312 497 taken
6 1 1 7 96 1321 478 1359 497 the
6 1 1 8 96 1368 478 1422 497 limit
7 1 1 1 90 854 804 857 807 .
7 1 1 2 92 872 788 999 813 Redefining
7 1 1 3 9 1008 788 1020 813 g
7 1 1 4 93 1029 794 1048 806 =
7 1 1 5 26 1058 784 1148 813 qy?u®,
7 1 1 6 91 1159 788 1269 813 removing
7 1 1 7 0 1279 783 1422 814 (1—q!/?)-!,
8 1 1 1 95 1002 978 1375 979 " "
9 1 1 1 96 318 1148 387 1167 where
9 1 1 2 96 398 1155 428 1167 we
9 1 1 3 96 439 1148 508 1167 define
10 1 1 1 10 587 1187 623 1226 YE
10 1 1 2 1 633 1187 669 1213 dO
10 1 1 3 1 672 1186 812 1220 (EO)ylal
10 1 1 4 70 825 1203 843 1209 =
10 1 1 5 16 858 1188 911 1219 g??)
10 1 1 6 1 920 1189 1003 1220 (y?u8,
10 1 1 7 51 1011 1201 1030 1219 y,
10 1 1 8 51 1038 1192 1061 1220 u)
10 1 1 9 72 1072 1205 1088 1207 —
10 1 1 10 63 1100 1195 1116 1213 1,
11 1 1 1 29 590 1233 620 1247 ee
12 1 1 1 96 277 1283 360 1308 Finally
12 1 1 2 96 370 1289 400 1302 we
12 1 1 3 96 411 1284 494 1302 rewrite
12 1 1 4 47 509 1274 577 1315 {B.33)
12 1 1 5 96 591 1283 619 1308 by
12 1 1 6 96 630 1282 723 1308 defining
12 1 1 7 70 734 1290 750 1302 a
12 1 1 8 92 760 1289 779 1301 =
12 1 1 9 80 789 1279 845 1308 uy~?
12 1 1 10 96 858 1285 881 1302 to
12 1 1 11 96 892 1285 926 1308 get
13 1 1 1 95 867 1544 1186 1545 " "
14 1 1 1 96 318 1663 387 1682 where
14 1 1 2 96 398 1670 428 1682 we
14 1 1 3 96 439 1662 508 1682 define
15 1 1 1 95 835 1979 864 2001 40
16 1 1 1 90 1350 1192 1421 1220 (B.34)
