block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 91 617 241 710 262 NLDSA
1 1 1 2 96 721 242 793 261 model
1 1 1 3 93 803 241 835 261 for
1 1 1 4 91 847 241 905 262 GRB
1 1 1 5 92 917 241 1037 267 afterglows
1 1 1 6 96 1525 242 1536 262 9
2 1 1 1 80 292 302 309 319 4,
2 1 1 2 93 330 303 447 319 EXAMPLE
2 1 1 3 72 457 303 625 320 AFTERGLOWS
3 1 1 1 85 171 341 255 366 Having
3 1 1 2 96 268 341 381 365 explained
3 1 1 3 96 394 341 431 360 the
3 1 1 4 96 445 341 520 360 Monte
3 1 1 5 96 534 340 598 361 Carlo
3 1 1 6 96 611 341 664 360 code
3 1 1 7 91 679 340 775 367 (Section
3 1 1 8 91 789 340 795 367 )
3 1 2 1 95 121 370 164 389 and
3 1 2 2 95 179 370 216 389 the
3 1 2 3 96 231 377 320 389 manner
3 1 2 4 96 335 371 357 389 in
3 1 2 5 96 371 370 440 389 which
3 1 2 6 95 455 370 471 389 it
3 1 2 7 96 487 371 504 389 is
3 1 2 8 95 519 370 609 394 coupled
3 1 2 9 95 624 373 647 389 to
3 1 2 10 93 662 377 675 389 a
3 1 2 11 91 689 370 796 395 hydrody-
3 1 3 1 96 121 399 214 418 namical
3 1 3 2 96 223 399 348 418 simulation
3 1 3 3 96 357 401 381 418 to
3 1 3 4 96 391 401 461 418 create
3 1 3 5 96 472 406 499 418 an
3 1 3 6 96 509 399 607 424 evolving
3 1 3 7 93 617 398 726 424 afterglow
3 1 3 8 93 736 399 796 418 mod-
3 1 4 1 96 121 428 140 447 el
3 1 4 2 93 153 426 248 454 (Section
3 1 4 3 92 260 427 274 453 ),
3 1 4 4 97 286 435 316 447 we
3 1 4 5 96 327 428 369 447 will
3 1 4 6 96 380 435 427 447 now
3 1 4 7 96 438 430 523 453 present
3 1 4 8 96 535 428 572 447 the
3 1 4 9 96 583 428 660 447 results
3 1 4 10 96 671 427 726 447 from
3 1 4 11 96 737 428 797 447 three
4 1 1 1 89 950 302 987 319 4.1.
4 1 1 2 96 1009 300 1102 319 Particle
4 1 1 3 96 1114 302 1194 324 spectra
4 1 1 4 96 1206 300 1248 319 and
4 1 1 5 96 1260 307 1335 325 energy
4 1 1 6 96 1347 300 1448 319 densities
5 1 1 1 96 911 341 935 360 In
5 1 1 2 96 944 341 1020 366 Figure
5 1 1 3 96 1029 342 1040 360 2
5 1 1 4 96 1050 348 1080 360 we
5 1 1 5 96 1089 341 1147 360 show
5 1 1 6 96 1155 341 1192 360 the
5 1 1 7 96 1201 343 1287 366 spectra
5 1 1 8 96 1295 340 1318 360 of
5 1 1 9 96 1325 341 1403 360 cosmic
5 1 1 10 96 1412 347 1460 366 rays
5 1 1 11 96 1469 340 1501 360 for
5 1 1 12 96 1510 341 1537 360 all
5 1 2 1 96 861 370 921 389 three
5 1 2 2 96 932 370 1021 394 models,
5 1 2 3 96 1032 371 1054 389 in
5 1 2 4 96 1064 370 1101 389 the
5 1 2 5 96 1112 370 1167 389 local
5 1 2 6 95 1177 370 1261 394 plasma
5 1 2 7 95 1271 369 1344 389 frame.
5 1 2 8 96 1359 370 1398 389 For
5 1 2 9 96 1409 370 1445 389 the
5 1 2 10 96 1456 370 1505 389 sake
5 1 2 11 96 1516 369 1539 389 of
6 1 1 1 96 861 399 941 424 clarity,
6 1 1 2 96 952 399 989 418 the
6 1 1 3 93 999 399 1073 418 cooled
6 1 1 4 91 1083 406 1096 423 p
6 1 2 1 96 861 428 909 447 ther
6 1 2 2 93 919 428 1063 447 downstream
6 1 2 3 91 1075 427 1092 453 (t
7 1 1 1 92 1099 399 1222 424 opulations
7 1 1 2 96 1232 399 1280 418 that
7 1 1 3 96 1291 399 1344 418 have
7 1 1 4 96 1353 399 1408 418 been
7 1 1 5 93 1418 401 1484 423 swept
7 1 1 6 93 1501 398 1536 418 fur-
7 1 2 1 96 1101 434 1121 447 he
7 1 2 2 96 1131 428 1218 447 interior
7 1 2 3 96 1228 428 1291 447 shells
7 1 2 4 97 1302 427 1325 447 of
7 1 2 5 96 1333 428 1409 453 Figure
7 1 2 6 96 1421 427 1441 453 1)
7 1 2 7 96 1453 434 1488 447 are
7 1 2 8 97 1499 430 1536 447 not
8 1 1 1 95 121 460 164 477 test
8 1 1 2 95 173 464 238 477 cases.
8 1 1 3 96 253 458 299 477 The
8 1 1 4 96 307 457 353 477 first
8 1 2 1 96 121 487 181 506 takes
8 1 2 2 96 195 487 255 511 place
8 1 2 3 96 270 488 292 506 in
8 1 2 4 96 305 487 343 506 the
8 2 1 1 96 121 516 221 540 particles
8 2 1 2 96 235 516 352 535 accelerate
8 2 2 1 96 121 547 159 564 not
8 2 2 2 96 171 545 315 570 significantly
8 2 2 3 96 326 552 361 564 mo
8 2 3 1 96 121 580 156 593 are
8 2 3 2 96 169 574 232 593 listed
8 2 3 3 96 245 575 266 593 in
8 2 3 4 96 279 574 344 593 Table
8 3 1 1 97 121 603 156 630 ed)
8 3 1 2 95 171 604 271 629 particles
8 3 1 3 96 285 610 320 623 are
