block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 248 369 288 391 We
1 1 1 2 95 301 369 370 390 claim
1 1 1 3 93 381 369 434 390 that
1 1 1 4 38 448 377 460 396 q
1 1 1 5 96 472 370 491 390 is
1 1 1 6 96 504 369 612 396 adjacent
1 1 1 7 93 625 372 650 390 to
1 1 1 8 93 660 377 676 396 p
1 1 1 9 93 688 370 712 390 in
1 1 1 10 46 724 369 764 395 C,.
1 1 1 11 96 782 369 876 396 Indeed,
1 1 1 12 96 890 369 1023 390 conditions
1 1 1 13 84 1036 369 1069 391 C1
1 1 1 14 95 1083 369 1130 390 and
1 1 1 15 93 1142 369 1177 391 C3
1 1 1 16 93 1189 369 1245 390 hold
1 1 1 17 96 1257 369 1364 396 trivially.
1 1 1 18 96 1382 369 1414 390 To
1 1 1 19 96 1426 369 1499 396 verify
1 1 2 1 96 202 407 243 434 C2,
1 1 2 2 96 256 407 363 428 consider
1 1 2 3 96 375 414 388 428 a
1 1 2 4 93 399 414 468 428 curve
1 1 2 5 90 481 415 492 428 e
1 1 2 6 92 503 412 519 429 €
1 1 2 7 48 532 407 560 433 S2
1 1 2 8 93 573 407 685 434 touching
1 1 2 9 93 697 407 711 428 d
1 1 2 10 94 723 409 747 428 at
1 1 2 11 94 760 414 773 428 a
1 1 2 12 96 785 408 851 434 point
1 1 2 13 96 864 408 887 428 in
1 1 2 14 96 899 410 939 428 the
1 1 2 15 95 951 414 990 428 arc
1 1 2 16 92 1001 407 1027 428 of
1 1 2 17 92 1036 407 1051 428 d
1 1 2 18 96 1062 407 1122 428 from
1 1 2 19 62 1133 415 1146 434 gq
1 1 2 20 93 1158 410 1183 428 to
1 1 2 21 15 1195 405 1222 434 q’.
1 1 2 22 96 1239 407 1296 428 This
1 1 2 23 96 1308 407 1420 434 touching
1 1 2 24 96 1432 408 1498 434 point
1 1 3 1 96 203 444 238 473 (as
1 1 3 2 96 250 445 290 466 the
1 1 3 3 96 301 445 376 466 whole
1 1 3 4 94 388 452 427 466 arc
1 1 3 5 93 438 445 464 466 of
1 1 3 6 93 473 445 488 466 d
1 1 3 7 93 499 445 559 466 from
1 1 3 8 85 566 439 576 477 q
1 1 3 9 93 595 448 620 466 to
1 1 3 10 70 632 443 663 473 q’)
1 1 3 11 96 677 445 717 466 lies
1 1 3 12 93 729 445 803 466 inside
1 1 3 13 91 815 445 847 470 T;.
1 1 3 14 93 864 445 981 472 However,
1 1 3 15 92 995 453 1006 466 e
1 1 3 16 96 1019 448 1081 466 must
1 1 3 17 90 1094 446 1203 466 intersect
1 1 3 18 90 1217 445 1234 471 b,
1 1 3 19 96 1248 452 1273 466 so
1 1 3 20 96 1285 446 1303 466 it
1 1 3 21 96 1315 448 1378 466 must
1 1 3 22 93 1390 445 1453 466 leave
1 1 3 23 85 1465 445 1497 470 T;.
1 1 4 1 95 201 482 221 503 It
1 1 4 2 95 234 482 330 503 touches
1 1 4 3 96 343 490 364 509 a,
1 1 4 4 96 377 489 403 503 so
1 1 4 5 96 415 483 432 503 it
1 1 4 6 96 445 484 508 503 must
1 1 4 7 96 521 482 584 503 leave
1 1 4 8 97 596 482 699 509 through
1 1 4 9 93 711 482 785 503 either
1 1 4 10 92 797 482 816 508 b;
1 1 4 11 96 829 489 855 503 or
1 1 4 12 65 867 480 894 512 ci.
1 1 4 13 95 912 482 972 503 Here
1 1 4 14 30 984 480 1003 512 ci
1 1 4 15 94 1016 482 1058 503 has
1 1 4 16 97 1071 482 1138 503 fewer
1 1 4 17 96 1150 482 1209 503 than
1 1 4 18 24 1221 477 1283 503 207k
1 1 4 19 96 1296 483 1375 509 points
1 1 4 20 63 1387 483 1411 503 in
1 1 4 21 63 1423 482 1455 508 _X,
1 1 4 22 97 1469 482 1499 509 by
1 1 5 1 96 201 527 243 541 our
1 1 5 2 96 254 520 333 541 choice
1 1 5 3 96 344 520 369 541 of
1 1 5 4 96 379 521 394 546 i,
1 1 5 5 93 407 520 474 541 while
1 1 5 6 64 486 520 505 546 b;
1 1 5 7 96 518 521 625 541 contains
1 1 5 8 96 637 520 704 541 fewer
1 1 5 9 93 715 520 775 541 than
1 1 5 10 66 786 515 833 541 a?k
1 1 5 11 96 845 521 924 547 points
1 1 5 12 91 936 521 960 541 in
1 1 5 13 91 971 520 1004 547 X,
1 1 5 14 96 1017 521 1079 541 since
1 1 5 15 96 1091 520 1151 542 Case
1 1 5 16 96 1163 521 1176 541 2
1 1 5 17 96 1188 520 1244 541 does
1 1 5 18 96 1256 523 1297 541 not
1 1 5 19 96 1309 520 1372 541 hold.
1 1 5 20 93 1388 520 1474 547 Hence,
1 1 5 21 80 1487 528 1498 541 e
1 1 6 1 96 201 558 243 579 has
1 1 6 2 96 256 558 323 579 fewer
1 1 6 3 95 335 558 394 579 than
1 1 6 4 34 407 553 469 580 307k
1 1 6 5 96 482 559 561 585 points
1 1 6 6 96 573 558 649 579 where
1 1 6 7 96 662 559 679 579 it
1 1 6 8 96 693 565 736 579 can
1 1 6 9 93 749 558 812 579 leave
1 1 6 10 88 824 558 857 584 T;,
1 1 6 11 96 871 565 909 579 and
1 1 6 12 96 930 558 996 579 there
1 1 6 13 96 1009 565 1047 579 are
1 1 6 14 96 1060 560 1084 579 at
1 1 6 15 96 1097 560 1159 579 most
1 1 6 16 12 1172 553 1234 580 302k
1 1 6 17 96 1247 558 1349 585 possible
1 1 6 18 96 1362 558 1452 579 choices
1 1 6 19 96 1464 557 1499 579 for
1 1 7 1 96 201 595 241 616 the
1 1 7 2 93 253 602 322 616 curve
1 1 7 3 92 334 602 353 616 e.
1 1 7 4 96 370 595 427 616 This
1 1 7 5 96 439 602 520 616 means
1 1 7 6 96 532 595 585 616 that
1 1 7 7 96 597 595 719 616 condition
1 1 7 8 96 731 595 765 617 C2
1 1 7 9 96 778 596 796 616 is
1 1 7 10 96 808 595 913 616 satisfied
1 1 7 11 93 925 595 972 616 and
1 1 7 12 73 984 603 996 622 q
1 1 7 13 96 1008 596 1027 616 is
1 1 7 14 95 1039 595 1147 622 adjacent
1 1 7 15 93 1160 598 1185 616 to
1 1 7 16 93 1195 603 1211 622 p
1 1 7 17 96 1222 596 1246 616 in
1 1 7 18 58 1258 595 1298 621 Cy.
1 2 1 1 96 248 633 284 660 By
1 2 1 2 96 294 640 337 654 our
1 2 1 3 96 348 633 426 654 choice
1 2 1 4 96 437 633 462 654 of
1 2 1 5 88 471 634 486 659 i,
1 2 1 6 96 499 640 532 654 we
1 2 1 7 96 543 640 587 654 can
1 2 1 8 96 598 633 668 654 select
1 2 1 9 96 679 633 720 654 the
