block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 304 244 372 266 After
1 1 1 2 96 383 246 517 272 presenting
1 1 1 3 93 528 245 569 266 the
1 1 1 4 92 580 245 683 266 no-scale
1 1 1 5 96 694 245 765 272 Higgs
1 1 1 6 95 777 245 885 266 inflation
1 1 1 7 93 895 245 985 266 models
1 1 1 8 63 990 239 1003 277 &
1 1 1 9 96 1021 245 1044 266 la
1 1 1 10 93 1054 245 1143 272 flipped
1 1 1 11 92 1155 243 1228 273 SU(5)
1 1 1 12 93 1242 245 1289 266 and
1 1 1 13 92 1300 245 1451 272 Pati-Salam,
1 1 2 1 96 236 302 270 316 we
1 1 2 2 96 284 296 423 322 investigate
1 1 2 3 96 437 295 477 316 the
1 1 2 4 96 492 295 613 322 reheating
1 1 2 5 96 627 302 721 322 process
1 1 2 6 96 735 296 759 316 in
1 1 2 7 96 773 295 839 316 these
1 1 2 8 96 854 295 919 317 GUT
1 1 2 9 92 934 295 1031 316 models.
1 1 2 10 96 1055 295 1122 317 Since
1 1 2 11 96 1136 295 1258 322 reheating
1 1 2 12 95 1272 295 1378 322 happens
1 1 2 13 95 1393 295 1453 316 after
1 1 3 1 96 237 345 351 371 inflation,
1 1 3 2 96 364 345 411 366 and
1 1 3 3 96 421 345 532 366 launches
1 1 3 4 96 542 345 583 366 the
1 1 3 5 96 594 345 706 367 Universe
1 1 3 6 96 716 346 766 366 into
1 1 3 7 96 776 345 817 366 the
1 1 3 8 93 828 345 869 366 hot
1 1 3 9 91 881 345 1003 372 Big-Bang
1 1 3 10 96 1013 352 1059 372 era,
1 1 3 11 96 1071 346 1089 366 it
1 1 3 12 96 1100 345 1184 366 should
1 1 3 13 96 1195 345 1225 366 be
1 1 3 14 96 1235 345 1328 366 treated
1 1 3 15 96 1339 352 1364 366 as
1 1 3 16 96 1375 352 1388 366 a
1 1 3 17 96 1399 347 1452 372 part
1 1 4 1 96 237 394 262 415 of
1 1 4 2 95 271 394 312 415 the
1 1 4 3 95 324 394 440 421 complete
1 1 4 4 96 452 394 559 415 inflation
1 1 4 5 96 571 394 659 421 theory.
1 1 4 6 96 676 394 793 421 However,
1 1 4 7 96 807 394 884 415 unlike
1 1 4 8 96 896 394 936 415 the
1 1 4 9 96 948 394 1099 421 inflationary
1 1 4 10 96 1111 394 1186 421 epoch
1 1 4 11 96 1197 394 1265 415 when
1 1 4 12 96 1277 394 1317 415 the
1 1 4 13 96 1329 394 1422 421 physics
1 1 4 14 96 1434 395 1452 415 is
1 1 5 1 96 237 444 322 465 almost
1 1 5 2 96 335 444 482 465 determined
1 1 5 3 96 494 444 524 471 by
1 1 5 4 96 536 444 577 465 the
1 1 5 5 96 589 444 740 471 inflationary
1 1 5 6 96 752 444 868 471 potential
1 1 5 7 96 880 444 954 470 alone,
1 1 5 8 96 968 444 1008 465 the
1 1 5 9 96 1020 444 1142 471 reheating
1 1 5 10 95 1154 444 1237 471 period
1 1 5 11 96 1249 445 1268 465 is
1 1 5 12 93 1280 445 1345 471 quite
