block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 92 547 96 564 113 S.
1 1 1 2 92 573 96 692 119 Khoperskov
1 1 1 3 93 700 99 717 113 et
1 1 1 4 91 724 96 752 113 al.:
1 1 1 5 96 763 96 798 113 Bar
1 1 1 6 96 805 96 907 119 quenching
1 1 1 7 93 915 96 933 113 in
1 1 1 8 93 941 96 1020 118 gas-rich
1 1 1 9 90 1027 96 1107 118 galaxies
2 1 1 1 92 179 167 211 179 gas
2 1 1 2 91 225 163 302 176 surfave
2 1 1 3 93 315 163 393 179 density
2 1 1 4 88 409 163 436 185 [M,
2 1 1 5 42 448 157 496 179 pc]
3 1 1 1 3 106 347 120 389 tkpe]
3 1 2 1 78 594 404 597 406 y
3 1 2 2 22 591 346 605 389 Tkpe]
4 1 1 1 95 126 187 571 571 " "
5 1 1 1 93 300 584 308 591 x
5 1 1 2 46 324 581 366 594 [kpc]
6 1 1 1 90 755 163 788 175 SFR
6 1 1 2 90 804 163 830 184 [M,
6 1 1 3 0 843 156 890 179 yr]
7 1 1 1 95 626 188 1042 568 "   "
8 1 1 1 91 785 584 793 591 x
8 1 1 2 83 809 581 851 594 [kpe]
9 1 1 1 96 1250 171 1282 183 SFE
9 1 1 2 49 1299 165 1365 187 [Gyr
9 1 1 3 0 1348 161 1369 191 *]
10 1 1 1 95 1047 342 1094 393 " "
11 1 1 1 95 1112 188 1516 568 "   "
12 1 1 1 59 1116 560 1143 571 -10
12 1 1 2 45 1211 560 1228 571 =5
12 1 1 3 70 1306 560 1313 571 0
12 1 1 4 95 1397 560 1404 571 5
12 1 1 5 96 1482 560 1498 571 10
12 1 2 1 91 1270 584 1278 591 x
12 1 2 2 82 1294 581 1336 594 [kpe]
13 1 1 1 96 103 619 142 641 Fig.
13 1 1 2 96 151 619 179 636 13.
13 1 1 3 96 187 619 241 642 Maps
13 1 1 4 97 249 619 271 636 of
13 1 1 5 96 277 619 305 636 the
13 1 1 6 96 313 624 345 641 gas
13 1 1 7 96 353 619 423 636 surface
13 1 1 8 96 431 619 501 641 density
13 1 1 9 95 510 619 563 640 (left),
13 1 1 10 96 572 619 642 636 surface
13 1 1 11 96 650 622 685 636 star
13 1 1 12 96 692 619 789 636 formation
13 1 1 13 96 797 622 833 636 rate
13 1 1 14 96 841 619 916 640 (center)
13 1 1 15 96 925 619 959 636 and
13 1 1 16 96 967 622 1002 636 star
13 1 1 17 96 1009 619 1106 636 formation
13 1 1 18 96 1114 619 1209 641 efficiency
13 1 1 19 96 1217 619 1279 641 (right)
13 1 1 20 96 1287 619 1315 636 for
13 1 1 21 96 1322 619 1384 636 barred
13 1 1 22 96 1392 619 1457 641 galaxy
13 1 1 23 96 1465 619 1526 636 model
13 1 1 24 97 1534 622 1551 636 at
14 1 1 1 89 103 652 113 664 a
14 1 1 2 89 120 647 178 670 single
14 1 1 3 96 185 647 234 667 time,
14 1 1 4 96 245 647 271 664 1.2
14 1 1 5 96 279 647 320 669 Gyr.
14 1 1 6 96 328 647 385 664 Black
14 1 1 7 96 392 647 455 664 circles
14 1 1 8 96 463 647 572 670 correspond
14 1 1 9 96 579 650 598 664 to
14 1 1 10 96 604 647 634 664 the
14 1 1 11 96 641 647 729 670 positions
14 1 1 12 96 737 647 758 664 of
14 1 1 13 93 764 647 814 664 inner
14 1 1 14 92 821 647 897 664 Lindbla
15 1 1 1 96 916 652 1015 664 resonance
15 1 1 2 96 1022 647 1077 668 (solid
15 1 1 3 96 1085 647 1128 668 line)
15 1 1 4 93 1136 647 1171 664 and
15 1 1 5 92 1178 647 1278 664 corotation
15 1 1 6 96 1284 647 1344 664 radius
15 1 1 7 96 1352 647 1428 668 (dashed
15 1 1 8 96 1435 647 1479 668 line)
15 1 1 9 96 1487 647 1515 664 for
15 1 1 10 97 1521 647 1550 664 the
16 1 1 1 95 304 745 1462 749 " "
17 1 1 1 95 576 804 639 816 " "
18 1 1 1 95 608 1141 688 1167 " "
19 1 1 1 96 103 674 137 691 bar.
19 1 2 1 61 213 736 242 755 12
19 1 2 2 13 1046 731 1063 765 os
19 1 2 3 18 1050 746 1148 761 LL
19 1 2 4 3 1304 746 1307 753 is
19 1 2 5 32 1367 746 1542 766 Try
19 1 3 1 62 1228 774 1312 786 meno
19 1 3 2 92 1331 769 1378 786 bar
19 1 3 3 95 1537 782 1544 785 4
19 1 4 1 96 213 809 242 829 10
19 1 4 2 86 738 798 867 821 h=0.2Gyr
19 1 4 3 78 1283 798 1368 820 e=0.2,
19 1 4 4 91 1392 798 1542 822 h=0.2Gyr
19 1 4 5 36 1532 794 1546 826 |
19 1 5 1 0 576 828 714 850 seee=0.2,
19 1 5 2 83 738 828 867 851 h=0.2Gyr
19 1 5 3 75 1229 836 1248 841 -
19 1 5 4 91 1392 828 1520 851 h=0.5Gyr
19 1 6 1 21 148 853 185 876 a
19 1 6 2 74 1229 858 1368 879 —e=0.2,
19 1 6 3 89 1392 858 1520 880 h=1.0Gyr
19 1 6 4 76 1537 856 1544 859 ]
19 1 7 1 72 156 882 158 893 1
19 1 8 1 41 166 879 184 916 ey
19 1 8 2 96 231 883 242 902 8
19 1 9 1 37 167 916 187 933 Pa)
19 1 10 1 79 186 957 198 969 °
19 1 11 1 72 162 972 181 990 s
19 1 11 2 96 231 956 243 976 6
19 1 12 1 70 162 1032 181 1050 a
19 1 12 2 92 230 1031 242 1049 4
19 1 13 1 37 162 1053 181 1068 em
19 1 14 1 89 161 1074 181 1088 n
19 1 15 1 96 230 1103 242 1123 2
19 1 16 1 4 256 1128 257 1131 F
19 1 16 2 52 532 1136 602 1150 eee
19 1 17 1 0 393 1147 525 1167 “eanausaiaraaenas
19 1 17 2 3 541 1155 606 1168 Seinen
19 1 17 3 15 684 1160 696 1166 4
19 1 17 4 29 704 1150 718 1164 Re
19 1 17 5 21 725 1144 771 1176 ole
19 1 17 6 4 777 1149 883 1168 ARE
19 1 18 1 94 231 1177 242 1197 0
19 1 19 1 93 249 1204 260 1223 0
19 1 19 2 53 389 1204 438 1223 0:5
19 1 19 3 28 567 1204 577 1223 L
19 1 19 4 23 707 1204 718 1223 Le
19 1 19 5 27 728 1204 755 1223 wel
20 1 1 1 96 475 1240 550 1261 time
20 1 1 2 96 581 1240 663 1267 [Gyr]
21 1 1 1 95 249 742 974 1197 " "
22 1 1 1 95 974 745 1462 749 " "
23 1 1 1 95 1225 802 1281 815 " "
24 1 1 1 95 1260 824 1368 850 " "
25 1 1 1 95 908 647 910 1126 " "
26 1 1 1 95 1541 746 1545 1187 " "
27 1 1 1 95 883 858 1552 1223 " "
28 1 1 1 96 1129 1240 1204 1261 time
29 1 1 1 95 1235 1240 1317 1267 [Gyr]
30 1 1 1 96 103 1294 142 1316 Fig.
30 1 1 2 93 152 1294 181 1311 14.
30 1 1 3 93 191 1294 335 1311 Star-formation
30 1 1 4 96 344 1294 412 1316 history
30 1 1 5 96 421 1294 439 1311 in
30 1 1 6 96 448 1294 477 1311 the
30 1 1 7 96 487 1294 570 1311 different
30 1 1 8 93 579 1294 654 1311 models.
30 1 1 9 92 665 1294 757 1311 Unbarred
30 1 1 10 96 767 1294 831 1316 galaxy
30 1 1 11 95 841 1294 884 1311 SFR
30 1 1 12 95 893 1294 908 1311 is
30 1 1 13 96 918 1294 980 1311 shown
30 1 1 14 96 989 1294 1013 1316 by
30 1 1 15 96 1022 1294 1075 1311 black
30 1 1 16 96 1084 1294 1120 1311 line
30 1 1 17 96 1129 1294 1147 1311 in
30 1 1 18 95 1156 1294 1179 1311 all
30 1 1 19 96 1189 1294 1256 1317 panels.
30 1 1 20 95 1266 1294 1311 1316 Left:
30 1 1 21 96 1322 1294 1442 1317 Comparison
30 1 1 22 96 1451 1294 1473 1311 of
30 1 1 23 96 1480 1294 1550 1311 models
30 1 2 1 96 103 1321 146 1338 with
30 1 2 2 96 153 1324 189 1338 two
30 1 2 3 96 197 1321 280 1338 different
30 1 2 4 96 287 1321 318 1338 bar
30 1 2 5 93 326 1321 419 1343 strengths,
30 1 2 6 62 427 1327 447 1342 ¢,
30 1 2 7 95 457 1328 470 1335 =
30 1 2 8 95 479 1321 506 1338 0.1
30 1 2 9 96 516 1321 551 1338 and
30 1 2 10 96 558 1321 594 1341 0.2;
30 1 2 11 96 603 1321 657 1343 right:
30 1 2 12 96 665 1321 739 1338 Models
30 1 2 13 96 747 1321 790 1338 with
30 1 2 14 96 797 1321 846 1338 three
30 1 2 15 96 853 1321 936 1338 different
30 1 2 16 96 943 1321 975 1338 bar
30 1 2 17 96 981 1321 1078 1338 formation
30 1 2 18 93 1086 1321 1202 1341 time-scales,
30 1 2 19 93 1210 1321 1221 1338 h
30 1 2 20 96 1231 1328 1244 1335 =
30 1 2 21 96 1253 1321 1288 1341 0.2,
30 1 2 22 95 1296 1321 1332 1341 0.5,
30 1 2 23 94 1342 1321 1348 1338 1
30 1 2 24 96 1358 1321 1400 1344 Gyr.
31 1 1 1 96 103 1402 207 1421 decreases
31 1 1 2 96 219 1402 267 1427 only
31 1 1 3 96 279 1402 318 1421 due
31 1 1 4 96 330 1406 350 1421 to
31 1 1 5 96 362 1402 394 1421 the
31 1 1 6 96 406 1402 525 1421 conversion
31 1 1 7 96 537 1402 560 1421 of
31 1 1 8 96 571 1408 605 1427 gas
31 1 1 9 96 618 1402 659 1421 into
31 1 1 10 96 672 1405 727 1424 stars,
31 1 1 11 96 740 1402 788 1421 with
31 1 1 12 96 799 1408 811 1421 a
31 1 2 1 96 104 1433 175 1452 slower
31 1 2 2 96 183 1433 246 1458 decay
31 1 2 3 96 255 1433 301 1452 than
31 1 2 4 96 309 1433 329 1452 in
31 1 2 5 96 337 1439 374 1452 our
31 1 2 6 93 381 1433 436 1452 basic
31 1 2 7 93 445 1433 517 1452 no-bar
31 1 2 8 96 525 1433 645 1452 simulation.
32 1 1 1 96 144 1600 166 1618 In
32 1 1 2 94 178 1599 248 1618 barred
32 1 1 3 94 259 1599 332 1624 galaxy
32 1 1 4 96 345 1599 476 1622 simulations,
32 1 1 5 96 490 1602 528 1618 star
32 1 1 6 96 540 1599 647 1618 formation
32 1 1 7 96 659 1599 764 1618 decreases
32 1 1 8 96 776 1602 811 1618 not
32 1 2 1 96 103 1636 124 1649 as
32 1 2 2 96 133 1630 210 1655 rapidly
32 1 2 3 96 220 1630 270 1649 after
32 1 2 4 97 278 1630 310 1649 the
32 1 2 5 97 318 1630 354 1649 bar
32 1 2 6 96 362 1630 470 1649 formation
32 1 2 7 96 479 1630 499 1649 in
32 1 2 8 96 508 1630 635 1655 comparison
32 1 2 9 96 645 1633 664 1649 to
32 1 2 10 97 673 1636 710 1649 our
32 1 2 11 96 719 1630 811 1649 standard
32 1 3 1 96 104 1660 235 1679 simulations.
32 1 3 2 96 243 1660 285 1679 The
32 1 3 3 96 293 1660 341 1679 SFR
32 1 3 4 96 348 1660 452 1679 decreases
32 1 3 5 96 459 1660 546 1679 because
32 1 3 6 96 554 1660 586 1679 the
32 1 3 7 96 593 1666 628 1685 gas
32 1 3 8 96 636 1660 653 1679 is
32 1 3 9 96 661 1660 729 1679 driven
32 1 3 10 93 737 1663 757 1679 to
32 1 3 11 92 764 1666 810 1679 cen-
32 1 4 1 95 103 1691 138 1710 tral
32 1 4 2 95 145 1691 225 1716 regions
32 1 4 3 96 233 1691 271 1710 and
32 1 4 4 96 278 1691 385 1710 converted
32 1 4 5 96 392 1694 412 1710 to
32 1 4 6 96 419 1694 474 1710 stars.
32 1 4 7 96 482 1691 504 1710 In
32 1 4 8 96 511 1691 543 1710 the
32 1 4 9 96 551 1691 643 1710 standard
32 1 4 10 96 650 1691 718 1710 model
32 1 4 11 93 726 1695 764 1710 star
32 1 4 12 92 771 1691 810 1710 for-
32 1 5 1 96 103 1721 178 1740 mation
32 1 5 2 97 189 1721 206 1740 is
32 1 5 3 96 217 1721 337 1746 suppressed
32 1 5 4 96 348 1727 394 1746 very
32 1 5 5 96 405 1721 482 1746 rapidly
32 1 5 6 96 493 1721 544 1746 right
32 1 5 7 96 555 1721 605 1740 after
32 1 5 8 96 615 1721 647 1740 the
32 1 5 9 96 658 1721 693 1740 bar
32 1 5 10 96 703 1721 810 1740 formation
32 1 6 1 96 103 1752 163 1771 while
32 1 6 2 96 174 1752 194 1771 in
32 1 6 3 96 204 1758 216 1771 a
32 1 6 4 96 226 1752 293 1771 model
32 1 6 5 96 304 1752 370 1771 where
32 1 6 6 96 381 1755 420 1771 star
32 1 6 7 96 430 1752 537 1771 formation
32 1 6 8 96 548 1752 597 1771 does
32 1 6 9 96 608 1755 642 1771 not
32 1 6 10 96 652 1752 731 1777 depend
32 1 6 11 95 741 1758 767 1771 on
32 1 6 12 96 778 1752 810 1771 the
32 1 7 1 95 103 1788 138 1807 gas
32 1 7 2 96 148 1782 232 1801 random
32 1 7 3 96 243 1782 330 1801 motions
32 1 7 4 96 341 1786 380 1801 star
32 1 7 5 96 390 1782 498 1801 formation
32 1 7 6 96 508 1782 612 1801 continues
32 1 7 7 96 624 1782 673 1801 after
