block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 245 472 336 499 subject
1 1 1 2 95 349 475 374 493 to
2 1 1 1 96 245 821 271 842 In
2 1 1 2 96 283 821 397 848 addition,
2 1 1 3 96 410 828 443 842 we
2 1 1 4 96 455 821 513 842 have
2 1 2 1 23 303 995 401 1046 a
2 1 2 2 28 543 995 625 1042 ne,
3 1 1 1 96 244 1101 285 1123 We
3 1 1 2 96 299 1103 362 1122 must
3 1 1 3 96 377 1108 429 1122 now
3 1 1 4 93 443 1101 527 1122 choose
3 1 1 5 92 544 1099 582 1130 [X]
3 1 1 6 96 599 1108 624 1122 so
3 1 1 7 93 638 1101 691 1122 that
3 1 1 8 92 709 1099 868 1129 (2.32)-(2.38)
3 1 1 9 96 884 1102 1014 1122 constitute
3 1 1 10 96 1029 1108 1042 1122 a
3 1 1 11 96 1056 1101 1238 1122 self-consistent
3 1 1 12 95 1253 1104 1349 1128 system.
3 1 1 13 96 1373 1101 1449 1122 There
3 1 1 14 96 1463 1108 1502 1122 are
3 1 2 1 96 198 1139 310 1166 basically
3 1 2 2 96 322 1139 376 1166 only
3 1 2 3 96 388 1142 433 1160 two
3 1 2 4 93 445 1139 603 1166 possibilities:
3 1 2 5 86 622 1137 660 1168 [X]
3 1 2 6 86 674 1149 694 1156 ~
3 1 2 7 93 705 1138 718 1160 5
3 1 2 8 93 730 1139 777 1160 and
3 1 2 9 81 791 1137 829 1168 [X]
3 1 2 10 81 842 1149 862 1156 ~
3 1 2 11 44 874 1133 930 1160 6'/?.
3 1 2 12 96 943 1139 984 1161 We
3 1 2 13 96 995 1141 1034 1166 try
3 1 2 14 96 1045 1139 1111 1160 these
3 1 2 15 96 1123 1140 1147 1160 in
3 1 2 16 91 1158 1142 1220 1160 turn.
3 1 3 1 69 198 1177 266 1197 21.1
3 1 3 2 69 307 1174 402 1205 [X]~6
4 1 1 1 96 245 1233 364 1260 Equation
4 1 1 2 96 378 1231 449 1261 (2.33)
4 1 1 3 96 463 1234 525 1260 gives
4 1 2 1 96 245 1454 337 1481 subject
4 1 2 2 96 349 1457 381 1480 to,
4 1 2 3 96 395 1454 455 1475 from
4 1 2 4 96 468 1452 549 1482 (2.35),
5 1 1 1 53 307 1819 388 1885 Ky
5 1 1 2 38 492 1819 574 1885 te)
6 1 1 1 96 245 1944 317 1971 Thus,
6 1 1 2 96 333 1943 405 1972 (2.39)
6 1 1 3 96 420 1944 467 1965 and
6 1 1 4 96 482 1943 553 1972 (2.40)
6 1 1 5 96 568 1945 619 1971 give
6 1 1 6 93 630 1945 679 1971 just
6 1 1 7 92 705 1944 715 1966 C
6 1 1 8 92 727 1951 747 1964 =
6 1 1 9 92 762 1945 772 1965 1
6 1 1 10 92 787 1944 821 1965 for
6 1 1 11 92 834 1944 859 1965 X
6 1 1 12 92 873 1949 892 1966 <
6 1 1 13 96 907 1945 926 1969 1,
6 1 1 14 96 940 1944 1015 1965 which
6 1 1 15 96 1028 1951 1109 1965 means
6 1 1 16 96 1122 1944 1175 1965 that
6 1 1 17 96 1190 1942 1262 1972 (2.41)
6 1 1 18 96 1277 1944 1324 1965 and
6 1 1 19 96 1339 1943 1411 1972 (2.42)
6 1 1 20 96 1425 1944 1502 1965 would
6 1 2 1 96 198 1982 294 2003 become
