block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 201 228 302 250 TABLE
1 1 1 2 96 316 229 332 250 I:
1 1 1 3 96 347 229 445 250 Percent
1 1 1 4 96 459 230 520 250 ratio
1 1 1 5 97 534 229 559 250 of
1 1 1 6 93 570 229 631 250 total
1 1 1 7 92 645 229 794 256 quasielastic
1 1 1 8 85 810 227 870 257 (p,n)
1 1 1 9 96 886 236 948 250 cross
1 1 1 10 96 962 230 1052 250 section
1 1 1 11 96 1065 229 1125 250 from
1 1 1 12 96 1139 232 1324 250 measurements
1 1 1 13 93 1338 229 1363 250 of
1 1 1 14 92 1374 229 1494 256 Doehring
2 1 1 1 95 407 337 1289 338 " "
3 1 1 1 93 203 291 225 310 et
3 1 1 2 93 237 289 264 310 al.
3 1 1 3 95 279 287 329 318 [37],
3 1 1 4 96 342 292 367 310 to
3 1 1 5 96 379 289 505 310 estimated
3 1 1 6 96 516 289 609 310 nuclear
3 1 1 7 95 621 290 747 316 geometric
3 1 1 8 94 758 296 821 310 cross
3 1 1 9 93 832 290 928 315 section,
3 1 1 10 15 941 288 1062 321 0(pn)/0g,
3 1 1 11 92 1074 289 1150 310 Where
3 1 1 12 72 1162 297 1189 320 o,
3 1 1 13 94 1201 299 1222 306 =
3 1 1 14 79 1233 297 1249 310 7
3 1 1 15 76 1257 284 1289 311 R?
3 1 1 16 35 1300 287 1318 318 (1
3 1 1 17 35 1328 302 1346 303 —
3 1 1 18 66 1357 287 1492 318 Vo(R)/E].
4 1 1 1 95 412 343 1283 344 " "
5 1 1 1 95 407 524 1289 525 " "
6 1 1 1 95 406 292 408 711 " "
7 1 1 1 95 412 343 413 711 " "
8 1 1 1 95 407 712 1289 713 " "
9 1 1 1 95 407 717 1289 718 " "
10 1 1 1 95 201 778 251 801 and
10 1 1 2 89 264 786 280 801 wu
10 1 1 3 95 294 786 335 801 are
10 1 1 4 96 348 778 427 801 radial
10 1 1 5 96 440 778 636 801 wavefunctions
10 1 1 6 96 648 778 686 801 for
10 1 1 7 96 698 778 742 801 the
10 1 1 8 96 754 778 836 801 initial
10 1 1 9 96 849 778 899 801 and
10 1 1 10 96 911 778 971 801 final
10 1 1 11 96 984 778 1109 801 channels.
11 1 1 1 95 511 343 513 859 " "
12 1 1 1 96 243 836 296 859 The
12 1 1 2 96 309 837 426 866 question
12 1 1 3 96 438 836 551 859 whether
12 1 1 4 91 564 844 579 859 a
12 1 1 5 91 591 836 816 866 coupled-channel
12 1 1 6 96 829 836 963 866 approach,
12 1 1 7 96 977 836 1121 866 combining
12 1 1 8 96 1133 836 1177 859 the
12 1 1 9 96 1190 836 1271 859 initial
12 1 1 10 96 1284 836 1334 859 and
12 1 1 11 93 1347 836 1407 859 final
12 1 1 12 91 1419 836 1493 859 chan-
12 1 2 1 96 201 894 253 917 nels
12 1 2 2 96 267 894 304 917 for
12 1 2 3 96 318 902 333 917 a
12 1 2 4 90 347 894 391 923 QE
12 1 2 5 90 407 892 471 925 (p,n)
12 1 2 6 96 487 895 607 923 reaction,
12 1 2 7 96 622 894 711 917 within
12 1 2 8 93 725 902 740 917 a
12 1 2 9 85 753 894 918 924 Schrédinger
12 1 2 10 95 931 895 1052 924 equation
12 1 2 11 92 1065 897 1102 917 set
12 1 2 12 89 1120 892 1164 925 [17,
12 1 2 13 96 1181 895 1217 923 19,
12 1 2 14 94 1233 892 1280 925 50],
12 1 2 15 96 1295 894 1370 917 could
12 1 2 16 96 1383 894 1455 924 bring
12 1 2 17 96 1469 895 1494 917 in
12 1 3 1 96 201 960 270 975 some
12 1 3 2 96 283 952 396 982 tangible
12 1 3 3 96 410 952 517 975 benefits
12 1 3 4 96 532 960 589 975 over
12 1 3 5 96 603 951 713 981 DWBA,
12 1 3 6 96 729 960 787 982 may
12 1 3 7 96 801 952 832 975 be
12 1 3 8 95 847 952 982 975 addressed
12 1 3 9 95 997 952 1029 982 by
12 1 3 10 95 1043 953 1187 982 examining
12 1 3 11 96 1201 952 1270 975 data.
12 1 3 12 96 1293 952 1321 975 In
12 1 3 13 96 1335 952 1411 975 Table
12 1 3 14 96 1426 952 1443 981 I,
12 1 3 15 96 1459 960 1494 975 we
12 1 4 1 96 201 1010 269 1033 show
12 1 4 2 96 278 1010 322 1033 the
12 1 4 3 96 331 1011 408 1033 ratios
12 1 4 4 96 418 1010 445 1033 of
12 1 4 5 96 452 1010 517 1033 total
12 1 4 6 93 527 1010 572 1039 QE
12 1 4 7 92 583 1008 647 1041 (p,n)
12 1 4 8 96 659 1018 726 1033 cross
12 1 4 9 96 736 1011 844 1033 sections
12 1 4 10 96 854 1010 918 1033 from
12 1 4 11 96 927 1010 971 1033 the
12 1 4 12 96 980 1013 1178 1033 measurements
12 1 4 13 93 1188 1010 1214 1033 of
12 1 4 14 92 1222 1010 1350 1040 Doehring
12 1 4 15 96 1362 1012 1385 1033 et
12 1 4 16 96 1396 1010 1425 1033 al.
12 1 4 17 90 1439 1008 1493 1041 [37],
12 1 5 1 96 201 1071 228 1091 to
12 1 5 2 96 241 1068 377 1091 estimated
12 1 5 3 96 390 1069 525 1098 geometric
12 1 5 4 96 539 1068 639 1091 nuclear
12 1 5 5 96 652 1069 787 1098 geometric
12 1 5 6 96 801 1076 868 1091 cross
12 1 5 7 92 881 1069 997 1097 sections,
12 1 5 8 0 1012 1077 1041 1100 ¢,
12 1 5 9 95 1055 1079 1077 1087 =
12 1 5 10 87 1090 1077 1107 1091 7
12 1 5 11 91 1116 1064 1150 1092 R?
12 1 5 12 88 1161 1066 1180 1099 [1
12 1 5 13 87 1193 1082 1213 1084 —
12 1 5 14 46 1226 1066 1371 1099 Ve(R)/E].
12 1 5 15 93 1391 1068 1445 1091 The
12 1 5 16 92 1458 1076 1493 1091 er-
12 1 6 1 96 201 1134 253 1149 rors
12 1 6 2 96 264 1126 291 1149 of
12 1 6 3 96 299 1126 342 1149 the
12 1 6 4 96 353 1126 485 1149 measured
12 1 6 5 96 496 1134 563 1149 cross
12 1 6 6 96 573 1127 682 1149 sections
12 1 6 7 96 693 1134 734 1149 are
12 1 6 8 96 745 1126 824 1149 about
12 1 6 9 96 838 1124 901 1155 10%,
12 1 6 10 96 914 1126 960 1149 but
12 1 6 11 96 971 1126 1015 1149 the
12 1 6 12 96 1025 1127 1136 1156 primary
12 1 6 13 96 1147 1127 1307 1156 uncertainty
12 1 6 14 96 1317 1127 1343 1149 in
12 1 6 15 96 1353 1126 1397 1149 the
12 1 6 16 96 1407 1127 1493 1155 ratios,
12 1 7 1 93 201 1185 258 1208 that
12 1 7 2 93 271 1193 329 1215 may
12 1 7 3 95 341 1185 372 1208 be
12 1 7 4 95 384 1185 539 1215 interpreted
12 1 7 5 95 551 1193 578 1208 as
12 1 7 6 95 590 1185 764 1215 probabilities
12 1 7 7 93 776 1185 813 1208 for
12 1 7 8 91 825 1193 870 1215 p-n
12 1 7 9 96 882 1186 1035 1214 conversion,
12 1 7 10 96 1049 1193 1090 1208 are
12 1 7 11 96 1102 1185 1155 1208 tied
12 1 7 12 96 1167 1188 1194 1208 to
12 1 7 13 96 1206 1185 1249 1208 the
12 1 7 14 96 1262 1185 1401 1215 ambiguity
12 1 7 15 96 1413 1186 1439 1208 in
12 1 7 16 96 1450 1185 1494 1208 the
12 1 8 1 96 201 1243 285 1266 choice
12 1 8 2 93 296 1243 323 1266 of
12 1 8 3 92 333 1243 355 1267 R
12 1 8 4 96 366 1243 403 1266 for
12 1 8 5 96 415 1243 458 1266 the
12 1 8 6 96 470 1244 605 1273 geometric
12 1 8 7 96 617 1251 683 1266 cross
12 1 8 8 96 695 1244 798 1266 section.
12 1 8 9 96 816 1243 888 1272 Here,
12 1 8 10 96 900 1251 936 1266 we
12 1 8 11 96 948 1251 991 1266 use
12 1 8 12 96 1002 1243 1046 1266 the
12 1 8 13 96 1057 1243 1120 1267 radii
12 1 8 14 96 1132 1243 1158 1266 of
12 1 8 15 96 1167 1243 1211 1266 the
12 1 8 16 96 1222 1243 1322 1266 volume
12 1 8 17 96 1333 1243 1458 1273 potential
12 1 8 18 96 1469 1244 1494 1266 in
12 1 9 1 96 201 1301 248 1324 KD
12 1 9 2 96 263 1302 494 1331 parametrization,
12 1 9 3 96 509 1301 567 1324 that
12 1 9 4 96 581 1301 655 1324 tends
12 1 9 5 96 669 1304 696 1324 to
12 1 9 6 96 710 1304 756 1331 put
12 1 9 7 96 770 1301 814 1324 the
12 1 9 8 96 827 1302 905 1324 ratios
12 1 9 9 96 919 1309 951 1324 on
12 1 9 10 96 965 1301 1008 1324 the
12 1 9 11 96 1022 1301 1082 1331 high
12 1 9 12 96 1095 1301 1155 1324 side.
12 1 9 13 96 1176 1300 1211 1324 As
12 1 9 14 96 1225 1301 1375 1324 alternative
12 1 9 15 97 1388 1304 1415 1324 to
12 1 9 16 96 1429 1301 1494 1324 total
12 1 10 1 96 201 1367 268 1382 cross
12 1 10 2 96 281 1360 377 1382 section
12 1 10 3 96 389 1360 462 1388 ratio,
12 1 10 4 96 476 1367 523 1382 one
12 1 10 5 96 536 1367 583 1382 can
12 1 10 6 96 595 1360 710 1382 examine
12 1 10 7 96 722 1359 876 1382 normalized
12 1 10 8 96 889 1359 1039 1382 differential
12 1 10 9 96 1051 1367 1118 1382 cross
12 1 10 10 95 1131 1360 1247 1382 sections.
12 2 1 1 96 243 1417 288 1440 For
12 2 1 2 96 298 1417 342 1440 the
12 2 1 3 96 353 1417 439 1440 elastic
12 2 1 4 96 450 1425 477 1440 or
12 2 1 5 96 488 1417 602 1440 inelastic
12 2 1 6 96 612 1418 750 1447 scattering
12 2 1 7 96 761 1417 787 1440 of
12 2 1 8 96 796 1417 903 1447 charged
12 2 1 9 96 914 1417 1065 1447 projectiles,
12 2 1 10 96 1078 1418 1097 1440 it
12 2 1 11 96 1108 1418 1128 1440 is
12 2 1 12 95 1139 1425 1256 1440 common
12 2 1 13 95 1267 1420 1294 1440 to
12 2 1 14 96 1305 1417 1440 1440 normalize
12 2 1 15 96 1450 1417 1494 1440 the
12 2 2 1 96 201 1475 351 1498 differential
12 2 2 2 96 360 1483 427 1498 cross
12 2 2 3 96 437 1476 545 1498 sections
12 2 2 4 96 555 1475 616 1498 with
12 2 2 5 96 625 1475 669 1498 the
12 2 2 6 96 679 1475 833 1499 Rutherford
12 2 2 7 96 843 1483 910 1498 cross
12 2 2 8 96 919 1476 1035 1498 sections.
12 2 2 9 96 1052 1475 1114 1498 This
12 2 2 10 96 1123 1475 1208 1505 brings
12 2 2 11 96 1218 1476 1243 1498 in
12 2 2 12 96 1253 1475 1367 1498 different
12 2 2 13 96 1378 1475 1492 1498 benefits.
12 2 3 1 96 201 1533 275 1562 First,
12 2 3 2 96 290 1533 334 1556 the
12 2 3 3 96 347 1533 495 1563 magnitude
12 2 3 4 96 509 1541 585 1563 range
12 2 3 5 96 598 1533 694 1556 needed
12 2 3 6 96 708 1533 745 1556 for
12 2 3 7 96 758 1534 902 1563 presenting
12 2 3 8 96 916 1533 959 1556 the
12 2 3 9 96 973 1541 1040 1556 cross
12 2 3 10 96 1053 1534 1149 1556 section
12 2 3 11 96 1163 1533 1247 1556 values
12 2 3 12 96 1261 1533 1366 1556 shrinks.
12 2 3 13 96 1388 1533 1493 1562 Second,
12 2 4 1 96 201 1591 273 1614 when
12 2 4 2 96 288 1591 432 1614 diffraction
12 2 4 3 96 446 1591 532 1614 effects
12 2 4 4 95 548 1599 589 1614 are
12 2 4 5 95 604 1591 742 1620 moderate,
12 2 4 6 96 759 1599 806 1614 one
12 2 4 7 96 821 1599 868 1614 can
12 2 4 8 96 882 1591 989 1621 visually
12 2 4 9 96 1004 1591 1110 1621 identify
12 2 4 10 96 1125 1591 1168 1614 the
12 2 4 11 96 1183 1599 1259 1621 range
12 2 4 12 96 1274 1591 1300 1614 of
12 2 4 13 96 1313 1591 1398 1621 angles
12 2 4 14 96 1413 1591 1494 1614 where
12 2 5 1 96 202 1649 326 1673 Coulomb
12 2 5 2 96 338 1650 477 1679 scattering
12 2 5 3 95 488 1649 638 1672 dominates.
12 2 5 4 95 657 1649 759 1679 Finally,
12 2 5 5 96 773 1649 845 1672 when
12 2 5 6 96 857 1649 922 1672 both
12 2 5 7 96 933 1649 977 1672 the
12 2 5 8 96 989 1649 1133 1672 diffraction
12 2 5 9 96 1145 1649 1195 1672 and
12 2 5 10 96 1208 1649 1342 1672 refraction
12 2 5 11 96 1354 1649 1440 1672 effects
12 2 5 12 96 1453 1657 1494 1672 are
12 2 6 1 96 201 1708 339 1737 moderate,
12 2 6 2 95 352 1716 399 1731 one
12 2 6 3 95 411 1716 458 1731 can
12 2 6 4 95 469 1709 590 1738 interpret
12 2 6 5 96 601 1708 645 1731 the
12 2 6 6 96 656 1709 721 1731 ratio
12 2 6 7 96 733 1709 758 1731 in
