block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 219 146 826 151 " "
2 1 1 1 61 191 153 212 165 03)
2 1 1 2 50 228 158 244 170 (a)
2 1 2 1 88 191 189 213 201 02}
2 1 2 2 88 237 193 270 195 ---
2 1 2 3 92 280 188 332 200 T=10K
2 1 2 4 45 388 185 427 214 pot
2 1 3 1 16 156 228 167 237 x
2 1 3 2 57 191 225 211 237 O01
2 1 3 3 90 280 213 341 244 T=300K
2 1 3 4 60 389 222 405 237 4,
2 1 3 5 66 413 222 466 233 =OmeV
3 1 1 1 95 219 309 826 313 " "
4 1 1 1 95 219 470 826 476 " "
5 1 1 1 95 219 633 826 638 " "
6 1 1 1 95 499 147 819 772 " "
7 1 1 1 54 732 776 747 791 Ay
7 1 1 2 54 753 776 781 787 =15
7 1 1 3 95 790 766 816 797 meV
8 1 1 1 95 561 147 563 798 " "
9 1 1 1 95 824 147 826 798 " "
10 1 1 1 95 219 149 220 800 " "
11 1 1 1 95 482 149 484 800 " "
12 1 1 1 95 156 257 483 801 " "
13 1 1 1 39 523 783 555 795 _03|
13 1 1 2 0 576 776 680 788 :***_T=300K
13 1 2 1 85 555 805 596 817 -0.14
13 1 2 2 85 614 805 655 817 -007
13 1 2 3 93 686 805 699 817 0.
13 1 2 4 93 736 805 766 817 007
13 1 2 5 92 795 805 825 817 0.14
13 1 3 1 16 666 832 683 847 Er
13 1 3 2 16 686 832 719 846 (eV)
14 1 1 1 95 219 796 826 800 " "
15 1 1 1 77 212 807 254 819 -0.14
15 1 1 2 89 272 807 313 819 -007
15 1 1 3 94 344 807 357 819 0.
15 1 1 4 94 394 807 424 819 007
15 1 1 5 89 453 807 483 819 0.14
15 1 2 1 57 323 834 377 850 Er(eV)
16 1 1 1 96 151 891 201 910 FIG.
16 1 1 2 93 212 892 229 910 3.
16 1 1 3 92 245 890 315 915 (a)-(d)
16 1 1 4 96 327 892 469 914 Temperature
16 1 1 5 96 479 892 606 914 dependence
16 1 1 6 97 615 891 636 909 of
16 1 1 7 46 644 898 657 914 7
16 1 1 8 96 667 898 734 909 versus
16 1 1 9 45 744 892 776 912 Er
16 1 1 10 96 787 892 829 914 plot
16 1 2 1 94 151 923 171 938 at
16 1 2 2 88 186 920 214 941 A;
16 1 2 3 93 233 929 249 935 =
16 1 2 4 92 265 921 328 939 OmeV
16 1 2 5 96 342 921 381 938 and
16 1 2 6 96 395 920 438 938 four
16 1 2 7 96 452 920 542 938 different
16 1 2 8 78 557 920 576 942 6.
