block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 78 201 207 254 233 4.1
1 1 1 2 71 303 205 337 239 7,
1 1 1 3 95 355 205 480 233 mirror
1 1 1 4 96 498 215 596 241 maps
1 1 1 5 93 614 205 704 233 from
1 1 1 6 90 721 205 968 233 coassociative
1 1 1 7 91 986 205 1168 233 fibrations
2 1 1 1 96 250 275 294 298 Let
2 1 1 2 96 306 283 335 298 us
2 1 1 3 96 346 275 421 305 begin
2 1 1 4 97 431 275 464 305 by
2 1 1 5 96 475 275 608 305 analyzing
2 1 1 6 96 617 275 661 298 the
2 1 1 7 96 672 275 827 305 generalized
2 1 1 8 82 837 274 866 303 7,
2 1 1 9 96 878 276 966 298 mirror
2 1 1 10 96 977 278 1116 305 symmetry
2 1 1 11 96 1127 283 1186 305 map
2 1 1 12 96 1197 276 1223 298 in
2 1 1 13 96 1233 275 1277 298 the
2 1 1 14 96 1287 278 1389 298 context
2 1 1 15 96 1401 275 1427 298 of
2 1 1 16 96 1436 275 1498 299 TCS
2 1 2 1 53 202 319 236 347 G2
2 1 2 2 96 249 319 391 342 manifolds.
2 1 2 3 96 409 319 444 342 As
2 1 2 4 96 455 319 499 342 the
2 1 2 5 88 510 319 621 342 Kovalev
2 1 2 6 92 633 319 691 343 CYs
2 1 2 7 0 702 319 745 348 X4
2 1 2 8 96 759 319 839 342 admit
2 1 2 9 96 851 320 952 342 mirrors
2 1 2 10 96 963 319 996 349 by
2 1 2 11 96 1008 320 1174 349 assumption,
2 1 2 12 95 1187 319 1220 349 by
2 1 2 13 93 1231 319 1274 342 the
2 1 2 14 93 1286 319 1345 343 SYZ
2 1 2 15 96 1358 322 1497 349 argument,
2 1 3 1 96 200 364 271 387 these
2 1 3 2 96 287 364 349 387 have
2 1 3 3 96 364 367 413 387 two
2 1 3 4 22 428 360 462 387 T°
2 1 3 5 93 479 364 572 394 special
2 1 3 6 91 587 364 734 394 lagrangian
2 1 3 7 92 749 364 888 387 fibrations.
2 1 3 8 96 914 364 959 387 Let
2 1 3 9 96 975 372 1004 387 us
2 1 3 10 96 1019 364 1111 387 denote
2 1 3 11 93 1127 364 1188 387 such
2 1 3 12 92 1203 364 1334 387 fibrations
2 1 3 13 96 1350 364 1383 394 by
2 1 3 14 52 1398 364 1445 392 Lz.
2 1 3 15 96 1471 364 1499 387 In
2 1 4 1 96 200 408 244 431 the
2 1 4 2 95 257 408 463 438 asymptotically
2 1 4 3 96 476 408 622 438 cylindrical
2 1 4 4 96 634 409 719 438 region
2 1 4 5 96 732 408 759 431 of
2 1 4 6 96 769 408 813 431 the
2 1 4 7 91 825 408 947 431 manifold
2 1 4 8 21 960 408 1003 437 X,
2 1 4 9 80 1017 419 1039 427 ~
2 1 4 10 32 1052 406 1092 431 R*+
2 1 4 11 96 1107 415 1123 431 x
2 1 4 12 57 1137 404 1171 432 S$!
2 1 4 13 92 1187 415 1203 431 x
2 1 4 14 29 1217 408 1262 437 $4,
2 1 4 15 93 1276 408 1320 431 the
2 1 4 16 91 1333 408 1392 432 SYZ
2 1 4 17 97 1406 408 1499 438 special
2 1 5 1 92 201 452 360 482 lagrangians
2 1 5 2 96 375 455 442 475 must
2 1 5 3 96 458 455 603 482 asymptote
2 1 5 4 95 618 455 646 475 to
2 1 5 5 27 661 452 699 480 La
2 1 5 6 89 716 463 738 471 ~
2 1 5 7 70 756 448 789 476 S!
2 1 5 8 96 806 459 822 475 x
2 1 5 9 44 837 451 885 481 Ax,
2 1 5 10 96 902 452 984 475 where
2 1 5 11 89 999 451 1037 481 Ay
2 1 5 12 96 1055 460 1096 475 are
2 1 5 13 93 1111 452 1154 475 the
2 1 5 14 92 1170 452 1229 476 SYZ
2 1 5 15 93 1244 452 1338 482 special
2 1 5 16 93 1353 452 1499 482 lagrangian
2 1 6 1 81 201 492 234 519 T?
