block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 94 206 190 258 211 how
1 1 1 2 96 271 197 315 211 one
1 1 1 3 96 328 197 372 211 can
1 1 1 4 96 385 190 474 211 deduce
1 1 1 5 96 487 190 527 211 the
1 1 1 6 96 541 190 653 211 behavior
1 1 1 7 96 666 190 691 211 of
1 1 1 8 96 701 190 742 211 the
1 1 1 9 96 755 197 826 217 many
1 1 1 10 96 839 191 977 217 interesting
1 1 1 11 96 990 190 1055 211 fields
1 1 1 12 96 1069 190 1143 211 under
1 1 1 13 93 1156 190 1197 211 the
1 1 1 14 90 1210 190 1392 211 Hamiltonian’s
1 1 1 15 96 1406 190 1505 211 discrete
1 1 2 1 96 206 228 360 254 symmetries.
1 1 3 1 70 207 265 251 287 3.1
1 1 3 2 91 292 264 447 287 Primaries
2 1 1 1 93 254 323 304 344 The
2 1 1 2 88 319 323 349 350 Z3
2 1 1 3 95 367 323 427 345 CFT
2 1 1 4 95 443 323 485 344 has
2 1 1 5 96 500 323 589 344 central
2 1 1 6 93 604 323 687 350 charge
2 1 1 7 87 703 331 714 344 c
2 1 1 8 96 730 333 750 340 =
2 1 1 9 96 767 322 810 352 4/5
2 1 1 10 54 828 321 869 352 [10]
2 1 1 11 95 887 323 934 344 and
2 1 1 12 95 949 324 967 344 is
2 1 1 13 96 983 330 996 344 a
2 1 1 14 96 1011 323 1112 344 rational
2 1 1 15 96 1128 323 1256 344 conformal
2 1 1 16 96 1271 323 1325 344 field
2 1 1 17 95 1340 323 1428 350 theory.
2 1 1 18 96 1455 323 1505 344 The
2 1 2 1 96 206 361 370 382 fundamental
2 1 2 2 96 383 361 558 382 characteristic
2 1 2 3 97 572 361 597 382 of
2 1 2 4 97 608 368 622 382 a
2 1 2 5 96 635 361 737 382 rational
2 1 2 6 96 750 361 879 382 conformal
2 1 2 7 96 892 361 946 382 field
2 1 2 8 96 960 361 1044 388 theory
2 1 2 9 97 1057 362 1076 382 is
2 1 2 10 96 1089 361 1143 382 that
2 1 2 11 96 1157 361 1188 382 all
2 1 2 12 93 1201 361 1241 382 the
2 1 2 13 92 1255 359 1469 389 operators/states
2 1 2 14 96 1483 361 1508 382 of
2 1 3 1 96 206 398 247 419 the
2 1 3 2 96 260 398 344 425 theory
2 1 3 3 96 357 405 401 419 can
2 1 3 4 96 414 398 443 419 be
2 1 3 5 96 456 398 581 425 expressed
2 1 3 6 95 594 399 618 419 in
2 1 3 7 95 631 401 703 419 terms
2 1 3 8 96 717 398 742 419 of
2 1 3 9 96 754 405 767 419 a
2 1 3 10 96 780 398 846 419 finite
2 1 3 11 96 859 400 893 419 set
2 1 3 12 96 908 398 933 419 of
2 1 3 13 96 944 401 1066 425 operators
2 1 3 14 96 1080 398 1177 419 dubbed
2 1 3 15 96 1190 399 1294 425 primary
2 1 3 16 96 1307 398 1379 419 fields.
2 1 3 17 96 1401 398 1464 419 That
2 1 3 18 95 1478 399 1504 425 is,
2 1 4 1 96 206 443 275 463 every
2 1 4 2 96 284 438 346 457 state
2 1 4 3 96 355 437 379 457 in
2 1 4 4 96 387 436 428 457 the
2 1 4 5 96 437 436 529 457 Hilbert
2 1 4 6 96 539 439 601 457 state
2 1 4 7 96 610 444 664 463 may
2 1 4 8 96 673 436 703 457 be
2 1 4 9 96 712 436 864 457 constructed
2 1 4 10 96 873 436 903 463 by
2 1 4 11 96 912 437 991 463 acting
2 1 4 12 96 1000 436 1058 457 with
2 1 4 13 96 1067 443 1080 457 a
