block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 207 167 288 190 where
1 1 1 2 74 302 175 330 196 wu,
1 1 1 3 93 345 175 361 197 p
1 1 1 4 93 374 167 424 190 and
1 1 1 5 88 438 175 451 190 c
1 1 1 6 96 464 175 505 190 are
1 1 1 7 96 518 167 562 190 the
1 1 1 8 96 576 167 738 197 background
1 1 1 9 96 751 167 807 190 flow
1 1 1 10 96 820 167 932 197 velocity,
1 1 1 11 96 948 167 1047 197 density
1 1 1 12 96 1061 167 1111 190 and
1 1 1 13 95 1124 167 1201 197 speed
1 1 1 14 95 1215 167 1242 190 of
1 1 1 15 96 1253 167 1342 196 sound,
1 1 1 16 92 1357 167 1408 190 and
1 1 1 17 47 1421 169 1431 190 t
1 1 1 18 96 1445 167 1495 190 and
1 1 2 1 93 159 207 187 231 V
1 1 2 2 96 200 215 241 230 are
1 1 2 3 96 253 207 296 230 the
1 1 2 4 96 307 207 430 230 standard
1 1 2 5 96 441 208 503 230 time
1 1 2 6 95 515 207 565 230 and
1 1 2 7 95 576 207 690 237 gradient
1 1 2 8 96 703 210 821 237 operator
1 1 2 9 96 832 207 859 230 of
1 1 2 10 96 869 207 1019 230 Newtonian
1 1 2 11 96 1030 207 1179 230 mechanics.
1 1 2 12 96 1198 207 1381 231 Conservation
1 1 2 13 96 1392 207 1419 230 of
1 1 2 14 96 1428 215 1495 230 mass
1 1 3 1 96 158 247 195 270 for
1 1 3 2 96 208 247 251 270 the
1 1 3 3 96 264 247 426 277 background
1 1 3 4 96 439 247 494 270 flow
1 1 3 5 96 507 247 563 270 tells
1 1 3 6 95 576 255 605 270 us
1 1 3 7 95 617 247 683 276 that,
2 1 1 1 96 160 365 196 398 (2)
2 1 1 2 18 694 367 803 392 PT
2 1 1 3 85 835 365 890 398 (pu)
2 1 1 4 89 913 378 926 386 =
3 1 1 1 96 208 478 286 508 Using
3 1 1 2 96 298 478 349 501 this
3 1 1 3 96 362 478 436 508 along
3 1 1 4 96 448 478 510 501 with
3 1 1 5 95 523 478 567 508 Eq.
3 1 1 6 96 584 476 619 509 (1)
3 1 1 7 96 634 486 669 501 we
3 1 1 8 96 682 478 771 501 obtain
3 1 1 9 96 778 472 789 513 a
3 1 1 10 96 810 478 912 508 slightly
3 1 1 11 96 925 478 1020 501 altered
3 1 1 12 96 1033 479 1177 508 expression
3 1 1 13 93 1189 478 1226 501 for
3 1 1 14 87 1239 478 1264 508 ¢,
4 1 1 1 59 489 573 512 612 (a)
4 1 1 2 91 677 586 693 608 p
4 1 1 3 60 742 577 759 602 (oa
4 1 2 1 96 171 601 185 624 3
4 1 2 2 17 486 600 605 624 ~t+V-:
4 1 2 3 18 672 600 1022 626 Sl~_t+u-V)o—-V-
