block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 589 147 716 161 BOUNDARY
1 1 1 2 96 725 147 799 161 LAYER
1 1 1 3 96 808 147 837 162 OF
1 1 1 4 95 846 147 983 161 TRANSPORT
1 1 1 5 96 993 147 1110 165 EQUATION
1 1 1 6 96 1480 148 1499 161 19
2 1 1 1 23 474 268 503 280 —e
2 1 1 2 36 514 242 557 305 ff
2 1 1 3 0 606 259 642 305 (b-
2 1 1 4 0 659 272 766 274 Vo0)(u~
2 1 1 5 41 776 260 799 286 a)
2 1 1 6 86 811 262 828 284 <
2 1 1 7 20 840 260 870 281 Cela
2 1 1 8 25 913 259 926 287 —
2 1 1 9 32 943 259 966 287 al
2 1 1 10 0 970 273 1065 293 acq9
2 1 1 11 0 1077 259 1175 293 Hela
2 1 1 12 75 1432 260 1497 287 (3.18)
2 1 2 1 0 511 300 513 303 “
2 1 2 2 9 562 290 594 305 xSt
3 1 1 1 45 811 321 828 343 S
3 1 1 2 54 840 319 870 340 Ce
3 1 1 3 38 880 318 904 346 |lu
3 1 1 4 38 914 331 931 333 —
3 1 1 5 0 950 318 966 346 |
3 1 1 6 23 971 333 1065 352 p2¢9x1)
3 1 1 7 36 1083 318 1113 346 Ul
3 1 1 8 0 1125 314 1212 356 z2~axss)
3 1 1 9 30 1223 336 1226 339 +
3 1 2 1 96 234 399 301 424 Using
3 1 2 2 96 311 399 349 418 the
3 1 2 3 96 359 401 418 418 trace
3 1 2 4 96 428 399 532 423 theorem,
3 1 2 5 96 544 405 574 418 we
3 1 2 6 96 585 399 638 418 have
3 1 3 1 23 246 468 358 531 cfuday
3 1 3 2 23 368 494 406 506 =e
3 1 3 3 38 414 468 440 531 fl
3 1 3 4 15 463 487 570 512 uddyre
3 1 3 5 0 577 468 618 531 ff
3 1 3 6 59 628 487 690 512 uddy
3 1 3 7 71 701 489 718 510 <
3 1 3 8 0 729 485 864 519 Cellellcae
3 1 3 9 0 878 466 1011 532 (Ihlcaers
3 1 3 10 80 1029 490 1036 508 +
3 1 3 11 46 1052 466 1186 532 lac)
3 1 3 12 77 1173 461 1186 536 )
3 1 3 13 96 1432 485 1497 513 (3.19)
3 1 4 1 2 369 566 386 587 S
3 1 4 2 66 397 563 428 584 Cell
3 1 4 3 0 437 562 578 597 aagousy
3 1 4 4 0 592 543 725 609 (Ihliaqrs)
3 1 4 5 63 736 567 754 585 +
3 1 4 6 0 766 543 900 609 Ulazey
3 1 4 7 82 895 539 908 613 )
3 1 4 8 22 916 566 933 587 $
3 1 4 9 0 944 562 1119 597 Cellllcagnssy
3 1 4 10 0 1133 543 1267 609 (Hellazers
3 1 4 11 90 1283 567 1290 585 +
3 1 4 12 7 1307 543 1453 609 Mlle
3 1 4 13 0 1431 539 1457 613 )-
4 1 1 1 96 234 642 292 667 Also,
4 1 1 2 96 304 650 334 662 we
4 1 1 3 96 345 643 420 662 obtain
5 1 1 1 41 545 710 587 772 II
5 1 1 2 18 636 727 736 755 (u-w)d
5 1 1 3 59 747 731 763 752 <
5 1 1 4 0 775 727 939 761 C|ltllz2(axg1)
5 1 1 5 74 951 727 975 755 lu
5 1 1 6 51 986 740 1002 742 —
5 1 1 7 0 1013 727 1136 760 Ulz2~axs1)
5 1 1 8 40 1147 745 1150 753 >
5 1 1 9 96 1432 728 1497 755 (3.20)
5 1 2 1 63 578 758 628 773 Qxst
6 1 1 1 61 604 841 647 903 II
6 1 1 2 22 699 859 730 885 £¢
6 1 1 3 47 740 861 757 883 <
6 1 1 4 0 769 858 933 892 Cllallz2caxsry
6 1 1 5 5 944 858 1081 892 Ilfllz2(axst)
6 1 1 6 85 1092 876 1095 879 -
6 1 1 7 96 1432 858 1497 886 (3.21)
6 1 2 1 39 638 889 688 904 Qxst
7 1 1 1 96 234 937 354 963 Collecting
7 1 1 2 96 364 940 431 957 terms
7 1 1 3 96 442 938 463 957 in
7 1 1 4 96 476 937 550 964 (3.17),
7 1 1 5 96 563 936 637 964 (3.18),
7 1 1 6 96 651 936 725 964 (3.19),
7 1 1 7 96 739 936 804 964 (3.20)
7 1 1 8 96 817 938 860 957 and
7 1 1 9 96 872 936 946 964 (3.21),
7 1 1 10 96 958 945 988 957 we
7 1 1 11 96 999 938 1075 957 obtain
8 1 1 1 47 315 1029 325 1030 ct
8 1 1 2 50 342 1019 351 1032 fa
8 1 1 3 9 522 1016 536 1037 te
8 1 1 4 32 744 1016 757 1037 sb
8 1 1 5 69 1442 1027 1446 1032 9
8 1 2 1 0 283 1033 292 1045 clit
8 1 2 2 0 301 1024 437 1059 Bagoussy
8 1 2 3 38 455 1028 472 1049 $
8 1 2 4 54 483 1025 503 1046 Cl
8 1 2 5 0 512 1024 647 1058 zagaxss
8 1 2 6 8 661 1005 710 1071 (le
8 1 2 7 8 719 1037 735 1039 ~
8 1 2 8 23 747 1024 770 1052 tl
8 1 2 9 0 775 1039 869 1059 ayaxsey
8 1 2 10 79 881 1029 899 1047 +
8 1 2 11 13 908 1024 1037 1058 €llllaxes)
8 1 2 12 83 1048 1029 1066 1047 +
8 1 2 13 31 1080 1024 1100 1052 IF
8 1 2 14 0 1108 1024 1214 1059 liagnusyy
8 1 2 15 22 1226 1029 1262 1047 tell
8 1 2 16 1 1271 1005 1416 1071 ace)
8 1 2 17 56 1395 1001 1420 1075 )-
8 1 2 18 63 1432 1025 1497 1052 822)
9 1 1 1 96 234 1105 296 1124 Then
9 1 1 2 96 306 1105 349 1124 this
9 1 1 3 96 360 1105 469 1130 naturally
9 1 1 4 96 479 1105 562 1129 implies
9 1 1 5 96 573 1105 622 1124 that
10 1 1 1 35 359 1191 513 1226 €ll@llz2@xst)
10 1 1 2 29 531 1195 548 1216 <
10 1 1 3 11 559 1172 598 1238 e(
10 1 1 4 45 608 1191 633 1219 Ile
10 1 1 5 35 643 1204 659 1206 =
10 1 1 6 0 669 1191 793 1226 Wlreeaxsty
10 1 1 7 90 805 1196 823 1214 +
10 1 1 8 4 832 1191 960 1225 €llullezarsy
10 1 1 9 90 972 1196 990 1214 +
10 1 1 10 56 1001 1191 1024 1219 Wf
10 1 1 11 0 1032 1191 1138 1226 llnz@axsty
10 1 1 12 62 1150 1196 1168 1214 +
10 1 1 13 62 1177 1200 1186 1212 €
10 1 1 14 1 1195 1191 1306 1226 Wlae-)
10 1 1 15 64 1315 1172 1339 1238 )
10 1 1 16 96 1432 1192 1497 1219 (3.23)
11 1 1 1 96 201 1304 253 1329 Step
11 1 1 2 96 264 1306 282 1324 2:
11 1 1 3 96 298 1305 382 1330 Energy
11 1 1 4 96 393 1305 505 1324 Estimate.
11 1 2 1 96 200 1338 225 1357 In
11 1 2 2 96 235 1338 272 1357 the
11 1 2 3 96 283 1338 342 1357 weak
11 1 2 4 96 352 1337 491 1357 formulation
11 1 2 5 96 503 1336 577 1364 (3.11),
11 1 2 6 96 589 1345 619 1357 we
11 1 2 7 96 630 1345 679 1363 may
11 1 2 8 96 689 1338 739 1357 take
11 1 2 9 96 749 1338 787 1357 the
11 1 2 10 96 797 1340 840 1357 test
11 1 2 11 93 851 1337 949 1357 function
11 1 2 12 81 960 1338 975 1360 ¢
11 1 2 13 93 985 1347 1003 1353 =
11 1 2 14 87 1013 1345 1027 1357 u
11 1 2 15 97 1038 1340 1061 1357 to
11 1 2 16 96 1072 1340 1107 1363 get
11 1 2 17 96 1118 1338 1155 1357 the
11 1 2 18 96 1166 1344 1244 1363 energy
11 1 2 19 96 1254 1338 1354 1357 estimate
12 1 1 1 89 582 1406 591 1424 1
12 1 1 2 19 1097 1424 1100 1427 ‘
12 1 1 3 38 1442 1425 1446 1430 ¢
12 1 2 1 6 579 1405 638 1467 xf
12 1 2 2 40 650 1416 688 1450 jul?
12 1 2 3 84 696 1424 725 1449 dy
12 1 2 4 89 734 1427 752 1445 +
12 1 2 5 0 764 1422 789 1450 [lu
12 1 2 6 70 799 1435 815 1437 —
12 1 2 7 0 825 1416 949 1456 Ellz2(axsty
12 1 2 8 96 962 1433 980 1439 =
12 1 2 9 56 991 1405 1034 1467 II
12 1 2 10 96 1086 1423 1122 1449 fu.
12 1 2 11 96 1432 1423 1497 1450 (3.24)
12 1 3 1 79 628 1455 640 1468 r
12 1 3 2 25 1025 1454 1075 1468 axst
13 1 1 1 96 234 1502 296 1521 Then
13 1 1 2 96 306 1509 336 1521 we
13 1 1 3 96 347 1502 400 1521 have
14 1 1 1 91 493 1571 503 1589 1
14 1 1 2 96 569 1580 578 1593 2
14 1 1 3 35 743 1580 778 1593 a2
14 1 1 4 96 1126 1580 1135 1593 2
14 1 2 1 0 491 1586 638 1626 sellers
14 1 2 2 30 650 1586 704 1614 +h
14 1 2 3 0 740 1586 864 1621 Aliacoxey
14 1 2 4 74 877 1597 895 1603 =
14 1 2 5 23 906 1570 949 1632 ff
14 1 2 6 65 1001 1587 1057 1613 fut
14 1 2 7 0 1067 1586 1210 1621 ella):
14 1 2 8 95 1432 1586 1497 1614 (3.25)
14 1 3 1 31 940 1618 990 1632 Oxst
14 1 4 1 96 234 1666 269 1687 On
14 1 4 2 96 280 1667 317 1686 the
14 1 4 3 96 328 1667 389 1686 other
14 1 4 4 96 400 1667 465 1691 hand,
14 1 4 5 96 476 1673 507 1686 we
