block line confidence X1 Y1 X2 Y2 token
0 0 0.9981573224067688 988 210 1066 246 Limb
0 0 0.9987733960151672 1070 210 1216 251 darkening
0 0 0.9912096261978149 1219 205 1282 248 and
0 0 0.6593858003616333 1285 210 1435 251 eroplanets
0 0 0.99996018409729 1476 210 1516 248 13
1 0 0.9995343685150146 111 287 161 315 one
1 0 0.9967401623725891 159 287 208 312 can
1 0 0.9949493408203125 206 287 251 315 see
1 0 0.9997922778129578 251 283 313 317 that,
1 0 0.9994953870773315 314 280 408 315 without
1 0 0.9984631538391113 411 283 489 317 taking
1 0 0.9997321963310242 491 285 541 312 into
1 0 0.99970942735672 544 285 634 312 account
1 0 0.8244931697845459 639 283 785 317 Kepler-296e,
1 1 0.9896166324615479 113 312 159 344 the
1 1 0.9983409643173218 161 317 281 344 agreement
1 1 0.9982692003250122 282 310 344 344 with
1 1 0.9998575448989868 345 312 389 342 the
1 1 0.9988178610801697 389 310 449 344 data
1 1 0.9993385672569275 449 312 476 344 is
1 1 0.9999368190765381 476 312 534 347 very
1 1 0.9994841814041138 534 312 597 349 good
1 1 0.9994180202484131 600 312 639 342 for
1 1 0.9998593330383301 641 310 734 344 ATLAS
1 1 0.9998007416725159 736 315 785 342 and
1 2 0.9997219443321228 116 344 242 374 PHOENIX
1 2 0.9995704293251038 243 344 316 372 model
1 2 0.9985968470573425 314 340 465 381 atmospheres
1 2 0.9987561702728271 463 344 500 374 for
1 2 0.9999834299087524 500 344 544 372 the
1 2 0.6765815019607544 542 344 575 374 u1
1 2 0.9334284067153931 576 342 712 376 coefficients,
1 2 0.9951872825622559 713 342 785 376 which
1 3 0.997882068157196 111 372 187 406 shows
1 3 0.999913215637207 185 379 208 402 a
1 3 0.8979582190513611 206 376 274 404 mean
1 3 0.5732424259185791 276 374 387 402 difference
1 3 0.9888504147529602 387 374 419 404 of
1 3 0.3850193917751312 415 358 571 418 -0.046281
1 3 0.9958789348602295 566 372 594 404 if
1 3 0.9641525149345398 589 376 638 404 one
1 3 0.9966732263565063 636 376 691 404 uses
1 3 0.9953340888023376 689 374 736 406 the
1 3 0.978864312171936 736 374 783 402 AT-
1 4 0.9985059499740601 111 402 171 436 LAS
1 4 0.9998903274536133 174 402 261 436 models
1 4 0.9968758821487427 263 402 316 436 and
1 4 0.19927074015140533 316 390 471 449 -0.04022135
1 4 0.9951047897338867 471 402 499 436 if
1 4 0.9999420642852783 499 408 547 433 one
1 4 0.9993189573287964 550 406 605 433 uses
1 4 0.9999244213104248 608 404 652 433 the
1 4 0.9992033839225769 655 402 785 433 PHOENIX
1 5 0.9865825772285461 113 433 206 468 models,
1 5 0.9999051094055176 208 436 266 463 both
1 5 0.9810412526130676 268 433 298 463 of
1 5 0.9999645948410034 298 436 369 463 which
1 5 0.9985535740852356 371 438 415 465 are
1 5 0.9076881408691406 416 436 531 463 consistent
1 5 0.9999288320541382 534 431 594 465 with
1 5 0.9998632669448853 592 436 617 465 a
1 5 0.9850828647613525 615 436 670 463 zero
1 5 0.9998993873596191 671 438 738 465 mean
1 5 0.9881289601325989 739 436 785 463 dif-
1 6 0.9702374339103699 114 465 203 493 ference.
1 6 0.9898185133934021 206 465 281 493 There
1 6 0.9999617338180542 282 465 308 495 is
1 6 0.9998787641525269 310 470 331 493 a
1 6 0.996326744556427 332 463 408 500 barely
1 6 0.9399383664131165 408 463 529 497 significant
1 6 0.9164345860481262 533 465 599 493 offset
1 6 0.9945070147514343 600 463 631 495 of
1 6 0.9983834028244019 631 463 675 493 the
1 6 0.4337156116962433 675 468 709 497 u2
1 6 0.8990859985351562 710 463 785 497 coeffi-
1 7 0.9799166917800903 113 497 184 525 cients
1 7 0.9213252067565918 187 495 250 529 (2.80
1 7 0.999852180480957 250 495 289 525 for
1 7 0.9999951124191284 289 495 332 525 the
1 7 0.999717652797699 334 493 426 527 ATLAS
1 7 0.757419764995575 426 495 516 529 models,
1 7 0.6436944007873535 518 497 573 525 2.90
1 7 0.9993463158607483 575 495 613 525 for
1 7 0.9763733148574829 613 495 655 525 the
1 7 0.9997065663337708 654 493 785 525 PHOENIX
1 8 0.9860876202583313 113 525 214 559 models),
1 8 0.999924898147583 219 523 279 557 with
1 8 0.999985933303833 281 525 324 555 the
1 8 0.9580732583999634 329 527 403 555 model
1 8 0.9969882369041443 410 527 482 555 values
1 8 0.9897710084915161 489 529 615 559 apparently
1 8 0.9669734835624695 618 527 785 559 systematically
1 9 0.9936559200286865 113 557 284 589 overestimating
1 9 0.9994733929634094 285 555 355 589 those
1 9 0.7342988848686218 353 555 482 589 coefficients
1 9 0.9998283386230469 482 555 520 593 by
1 9 0.999035120010376 518 561 545 591 a
1 9 0.999841570854187 544 561 610 589 mean
1 9 0.944570004940033 612 555 680 589 value
1 9 0.7695103883743286 678 557 710 587 of
1 9 0.6559540033340454 710 559 743 587 N
1 9 0.9844124913215637 736 555 786 589 0.3.
1 10 0.983677864074707 111 584 161 619 For
1 10 0.7760618925094604 159 589 201 616 the
