block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 151 891 201 910 FIG.
1 1 1 2 93 212 892 229 910 3.
1 1 1 3 92 245 890 315 915 (a)-(d)
1 1 1 4 96 327 892 469 914 Temperature
1 1 1 5 96 479 892 606 914 dependence
1 1 1 6 97 615 891 636 909 of
1 1 1 7 45 644 898 657 914 7
1 1 1 8 96 667 898 734 909 versus
1 1 1 9 43 744 892 776 912 Er
1 1 1 10 96 787 892 829 914 plot
1 1 2 1 94 151 923 171 938 at
1 1 2 2 89 186 920 214 941 A;
1 1 2 3 93 233 929 249 935 =
1 1 2 4 92 265 921 328 939 OmeV
1 1 2 5 96 342 921 381 938 and
1 1 2 6 95 395 920 438 938 four
1 1 2 7 96 452 920 542 938 different
1 1 2 8 83 557 920 576 942 6.
1 1 2 9 90 603 920 672 944 (e)-(h)
1 1 2 10 96 688 921 830 943 Temperature
1 1 3 1 96 151 950 278 972 dependence
1 1 3 2 95 287 949 308 967 of
1 1 3 3 70 315 956 328 972 7
1 1 3 4 96 337 956 405 967 versus
1 1 3 5 40 414 950 447 970 Er
1 1 3 6 95 458 950 500 972 plot
1 1 3 7 96 510 952 530 967 at
1 1 3 8 96 540 949 568 970 Ay
1 1 3 9 92 581 958 598 964 =
1 1 3 10 91 609 950 683 968 15meV
1 1 3 11 96 693 950 732 967 and
1 1 3 12 93 741 949 784 967 four
1 1 3 13 92 794 949 829 967 dif-
1 1 4 1 73 158 981 213 996 erent
1 1 4 2 86 223 978 243 1001 6.
1 1 4 3 93 257 985 279 999 vo
1 1 4 4 26 290 979 379 997 =0.1eV
1 1 4 5 95 388 979 408 996 in
1 1 4 6 95 418 979 444 996 all
1 1 4 7 96 453 979 488 996 the
1 1 4 8 96 497 979 550 1001 eight
1 1 4 9 96 561 979 619 1001 plots.
1 1 4 10 96 634 978 697 997 Other
1 1 4 11 96 707 981 830 1001 parameters
1 1 5 1 96 151 1014 183 1025 are
1 1 5 2 95 193 1008 227 1025 the
1 1 5 3 96 237 1014 292 1025 same
1 1 5 4 96 302 1014 323 1025 as
1 1 5 5 93 333 1008 353 1025 in
1 1 5 6 92 363 1008 424 1030 Fig.2.
1 1 5 7 96 438 1008 478 1025 and
1 1 5 8 96 488 1008 528 1030 Fig.
1 1 5 9 96 544 1009 560 1025 1.
2 1 1 1 92 161 1100 188 1119 he
2 1 1 2 85 198 1099 238 1123 Cg,
2 1 1 3 96 250 1102 369 1125 symmetry
2 1 1 4 96 379 1100 396 1119 is
2 1 1 5 96 406 1100 486 1119 broken
2 1 1 6 96 496 1100 524 1125 by
2 1 1 7 96 534 1100 571 1119 the
2 1 1 8 93 581 1100 670 1119 adatom
2 1 1 9 15 680 1106 820 1125 arrangemen'
2 1 2 1 96 150 1132 226 1151 within
2 1 2 2 96 238 1132 275 1151 the
2 1 2 3 96 288 1132 383 1151 clusters.
2 1 2 4 96 404 1131 466 1152 Close
2 1 2 5 90 478 1134 502 1151 to
2 1 2 6 90 522 1131 529 1156 6
2 1 2 7 95 542 1141 560 1147 =
2 1 2 8 67 576 1132 589 1161 7
2 1 2 9 95 604 1132 641 1151 the
2 1 2 10 96 653 1132 763 1151 deviation
2 1 2 11 96 775 1131 830 1151 from
2 1 3 1 92 151 1164 239 1184 Rashba
2 1 3 2 95 248 1164 290 1183 and
2 1 3 3 95 299 1164 336 1183 the
2 1 3 4 96 345 1163 426 1188 perfect
2 1 3 5 69 437 1163 476 1187 Cg,
2 1 3 6 95 488 1164 611 1189 symmetric
2 1 3 7 96 620 1164 726 1183 situation
2 1 3 8 96 734 1165 751 1183 is
2 1 3 9 96 761 1164 828 1183 small.
2 1 4 1 96 151 1195 186 1216 On
2 1 4 2 96 195 1196 232 1215 the
2 1 4 3 96 242 1196 304 1215 other
2 1 4 4 96 313 1196 378 1220 hand,
2 1 4 5 93 389 1196 468 1221 having
2 1 4 6 5 479 1196 515 1224 —}
2 1 4 7 92 528 1200 545 1216 <
2 1 4 8 52 556 1196 571 1220 8
2 1 4 9 93 582 1200 599 1216 <
2 1 4 10 96 606 1191 616 1228 0
2 1 4 11 96 631 1197 725 1220 requires
2 1 4 12 96 734 1202 747 1215 a
2 1 4 13 96 756 1198 830 1221 strong
2 1 5 1 92 166 1228 253 1253 reaking
2 1 5 2 96 264 1228 287 1247 of
2 1 5 3 96 295 1228 332 1247 the
2 1 5 4 67 344 1227 383 1251 Cg,
2 1 5 5 96 396 1230 519 1253 symmetry.
2 2 1 1 95 178 1260 202 1279 In
2 2 1 2 96 217 1260 261 1285 Fig.
2 2 1 3 96 278 1261 296 1284 1,
2 2 1 4 96 312 1267 342 1279 we
2 2 1 5 96 357 1260 415 1279 show
2 2 1 6 96 429 1260 466 1279 the
2 2 1 7 96 481 1260 618 1285 dependence
2 2 1 8 96 632 1259 655 1279 of
2 2 1 9 96 668 1260 705 1279 the
2 2 1 10 96 719 1261 767 1284 spin
2 2 1 11 96 782 1260 822 1279 Hal
2 2 2 1 92 151 1291 212 1316 angle
2 2 2 2 82 223 1298 237 1315 y
2 2 2 3 96 249 1291 291 1310 and
2 2 2 4 96 302 1291 339 1310 the
2 2 2 5 96 350 1293 461 1316 transport
2 2 2 6 96 473 1297 530 1310 cross
2 2 2 7 96 541 1292 623 1310 section
2 2 2 8 67 634 1291 671 1317 Uj.
2 2 2 9 95 684 1293 706 1310 at
