block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 65 952 270 1011 285 14+€-0
1 1 2 1 66 977 294 984 301 z
2 1 1 1 61 625 292 636 305 8
2 1 1 2 0 648 272 881 315 =4nLyLorp
2 1 1 3 0 829 268 876 319 “9
2 1 1 4 24 894 284 946 305 VT
2 1 1 5 96 1347 282 1419 312 (3.22)
3 1 1 1 96 288 387 315 408 In
3 1 1 2 96 329 385 400 415 (3.20)
3 1 1 3 96 414 387 461 408 and
3 1 1 4 96 475 386 547 415 (3.21)
3 1 1 5 96 560 394 593 408 we
3 1 1 6 93 605 387 713 414 replaced
3 1 1 7 92 725 387 745 408 T
3 1 1 8 96 756 387 814 408 with
3 1 1 9 88 826 395 851 413 rp,
3 1 1 10 96 865 387 895 414 by
3 1 1 11 96 907 388 974 414 using
3 1 1 12 96 988 385 1060 415 (3.19)
3 1 1 13 96 1074 390 1099 408 to
3 1 1 14 96 1111 387 1214 414 simplify
3 1 1 15 97 1225 387 1266 408 the
3 1 1 16 96 1278 388 1419 414 expression.
3 1 2 1 96 289 428 361 454 Thus,
3 1 2 2 96 374 428 414 449 the
3 1 2 3 96 426 428 574 449 diffusivities
3 1 2 4 96 587 435 625 449 are
4 1 1 1 95 543 552 918 555 " "
5 1 1 1 95 543 622 1012 627 " "
6 1 1 1 95 543 622 1012 627 " "
7 1 1 1 95 543 625 1012 630 " "
8 1 1 1 95 637 1034 1043 1038 " "
9 1 1 1 95 637 1032 1043 1041 " "
10 1 1 1 95 637 1033 1043 1042 " "
11 1 1 1 95 637 1035 1043 1043 " "
12 1 1 1 95 636 1122 937 1125 " "
13 1 1 1 95 636 1124 1040 1131 " "
14 1 1 1 52 578 527 619 544 Koa
14 1 1 2 8 787 527 799 540 z
14 1 1 3 16 977 533 1061 548 —2,.2—z
14 1 2 1 0 472 539 495 560 Dr,z
14 1 2 2 47 543 549 563 550 =“
14 1 2 3 71 635 549 655 550 =
14 1 2 4 15 922 539 1019 560 L,Ly?r
14 1 3 1 36 496 550 610 591 Tao,
14 1 3 2 0 672 558 915 588 (@2-2)0-1-6)
14 1 3 3 46 942 547 1075 570 """2?"
14 1 4 1 92 473 614 496 635 D
14 1 4 2 88 578 601 618 624 Kyy
14 1 4 3 65 833 601 845 614 z
14 1 4 4 0 1016 605 1166 635 Leps2ptt-#
14 1 4 5 96 1347 580 1419 610 (3.23)
14 1 5 1 29 493 616 517 651 'T;
14 1 5 2 0 1097 616 1113 651 vr,
14 1 5 3 38 1177 632 1180 640 ,
14 1 6 1 23 520 630 530 645 vn
14 1 6 2 34 586 643 610 665 cp
14 1 6 3 38 642 624 654 670 =
14 1 6 4 0 670 633 708 663 (22
14 1 6 5 0 726 633 861 663 -2(2-€))
14 1 6 6 64 872 633 1008 663 (0-1-4)
14 1 6 7 39 1037 629 1126 645 """7%"
14 1 7 1 96 289 721 336 742 and
14 1 7 2 96 347 721 388 742 the
14 1 7 3 96 400 721 514 748 butterfly
14 1 7 4 96 525 721 644 742 velocities
14 1 7 5 96 658 719 730 749 (3.15)
14 1 7 6 96 744 728 782 742 are
14 1 8 1 18 543 783 596 804 2nT
14 1 8 2 31 985 783 1039 804 2nT
14 1 9 1 89 428 797 438 812 2
14 1 9 2 42 688 797 715 812 =
14 1 9 3 55 871 797 881 812 5
14 1 9 4 2 1130 797 1157 812 —2,
14 1 9 5 40 1175 795 1213 810 2€—
14 1 10 1 0 412 812 463 836 be
14 1 10 2 63 476 814 496 821 =
14 1 10 3 0 510 804 696 852 gaa
14 1 10 4 0 615 791 633 860 g
14 1 10 5 0 638 804 690 852 el
14 1 10 6 53 718 802 786 835 th
14 1 10 7 4 855 812 906 837 by
14 1 10 8 83 918 814 938 821 =
14 1 10 9 47 952 804 1139 852 Gay
14 1 10 10 10 1034 791 1070 860 ag
14 1 10 11 0 1080 795 1196 852 hrlatn
14 1 10 12 91 1347 802 1419 832 (3.24)
14 1 11 1 96 289 907 384 934 Finally,
14 1 11 2 97 398 907 428 934 by
14 1 11 3 96 440 908 544 934 noticing
14 1 11 4 95 556 907 609 928 that
14 1 11 5 8 622 915 649 932 tz,
14 1 11 6 93 661 917 682 924 =
14 1 11 7 31 695 902 799 935 (27T)~!
14 1 11 8 96 813 914 846 928 we
14 1 11 9 96 858 907 916 928 have
14 1 12 1 62 684 1005 733 1026 Dr;
14 1 12 2 89 806 1006 816 1026 1
14 1 12 3 92 956 1006 966 1026 1
14 1 13 1 24 688 1013 1015 1058 ee
14 1 13 2 95 1347 1024 1419 1055 (3.25)
14 1 14 1 61 672 1055 700 1078 UB
14 1 14 2 0 713 1055 754 1082 gTL
14 1 14 3 8 805 1047 904 1072 222-1
14 1 14 4 81 954 1047 1040 1067 22-1
14 1 15 1 91 683 1093 706 1114 D
14 1 15 2 95 804 1094 814 1114 1
14 1 15 3 94 953 1094 963 1114 1
14 1 16 1 63 596 1113 624 1143 by
14 1 16 2 42 687 1103 741 1145 =
14 1 16 3 6 951 1101 1054 1134 a,
14 1 16 4 96 1347 1111 1419 1141 (3.26)
14 1 17 1 21 614 1140 616 1143 ,
14 1 17 2 73 671 1143 699 1165 UB
14 1 17 3 64 709 1143 752 1169 yTL
14 1 17 4 6 803 1135 901 1164 2%y—-1
14 1 17 5 59 952 1134 1038 1161 2z-€
15 1 1 1 95 289 1230 372 1251 Notice
15 1 1 2 95 381 1230 434 1251 that
15 1 1 3 93 445 1230 485 1251 the
15 1 1 4 68 496 1230 524 1255 €,
15 1 1 5 93 536 1230 583 1251 and
15 1 1 6 92 593 1230 621 1259 €,
15 1 1 7 96 632 1230 726 1257 depend
15 1 1 8 96 735 1230 790 1257 only
15 1 1 9 92 799 1237 830 1251 on
15 1 1 10 92 840 1238 852 1251 z
15 1 1 11 93 862 1230 909 1251 and
15 1 1 12 92 918 1230 931 1257 €
15 1 1 13 96 941 1231 1090 1257 irrespective
15 1 1 14 96 1100 1230 1125 1251 of
15 1 1 15 61 1132 1230 1145 1251 6
15 1 1 16 92 1155 1230 1202 1251 and
15 1 1 17 92 1212 1232 1232 1257 ¢.
15 1 1 18 96 1248 1230 1315 1257 They
15 1 1 19 96 1324 1237 1363 1252 are
15 1 1 20 96 1373 1230 1421 1251 also
15 1 2 1 95 232 1271 391 1298 independent
15 1 2 2 95 405 1271 430 1292 of
15 1 2 3 96 441 1271 524 1298 charge
15 1 2 4 93 537 1271 630 1298 density
15 1 2 5 67 643 1279 657 1299 p
15 1 2 6 96 670 1271 717 1292 and
15 1 2 7 96 729 1273 877 1292 momentum
15 1 2 8 93 889 1271 1032 1292 relaxations
15 1 2 9 66 1046 1271 1069 1297 k;
15 1 2 10 96 1085 1271 1132 1292 and
15 1 2 11 71 1146 1271 1179 1297 kg.
15 1 2 12 96 1199 1271 1256 1292 This
15 1 2 13 96 1269 1271 1422 1298 universality
15 1 3 1 96 232 1314 251 1334 is
15 1 3 2 96 263 1313 389 1334 nontrivial
15 1 3 3 96 401 1313 501 1334 because
15 1 3 4 96 513 1313 554 1334 the
15 1 3 5 96 566 1313 667 1334 thermal
15 1 3 6 96 679 1313 867 1340 conductivities,
15 1 3 7 96 880 1313 974 1340 specific
15 1 3 8 96 986 1313 1040 1334 heat
15 1 3 9 96 1054 1313 1101 1334 and
15 1 3 10 96 1112 1313 1227 1340 butterfly
15 1 3 11 96 1238 1313 1343 1340 velocity,
15 1 3 12 96 1356 1313 1387 1334 all
15 1 3 13 96 1398 1313 1424 1334 of
15 1 4 1 96 232 1354 298 1375 them
15 1 4 2 96 307 1354 400 1381 depend
15 1 4 3 93 410 1361 440 1375 on
15 1 4 4 62 451 1352 510 1382 (6,¢,
15 1 4 5 87 519 1362 539 1382 p,
15 1 4 6 35 548 1354 582 1380 1,
15 1 4 7 37 591 1352 627 1382 ko)
15 1 4 8 93 638 1354 741 1381 through
15 1 4 9 84 752 1352 800 1382 (L,,
15 1 4 10 81 809 1354 847 1380 £1,
15 1 4 11 0 856 1353 948 1382 L2,rp,).
15 1 4 12 96 964 1354 1041 1376 When
15 1 4 13 95 1050 1355 1068 1375 it
15 1 4 14 96 1078 1361 1155 1375 comes
15 1 4 15 95 1164 1356 1190 1375 to
15 1 4 16 95 1199 1354 1239 1375 the
15 1 4 17 96 1248 1354 1421 1375 combinations
15 1 5 1 86 233 1395 262 1421 €,
15 1 5 2 96 276 1395 323 1416 and
15 1 5 3 87 336 1395 372 1426 Ey,
15 1 5 4 93 385 1395 416 1416 all
15 1 5 5 32 433 1395 466 1421 L,,
15 1 5 6 32 482 1395 513 1421 £1,
15 1 5 7 42 526 1395 557 1421 Ly
15 1 5 8 96 571 1395 617 1416 and
15 1 5 9 80 629 1403 654 1421 rp,
15 1 5 10 93 668 1402 706 1416 are
15 1 5 11 96 718 1395 828 1416 canceled
15 1 5 12 95 840 1397 888 1416 out.
15 2 1 1 96 289 1437 322 1458 To
15 2 1 2 96 331 1438 470 1464 investigate
15 2 1 3 96 480 1437 498 1458 if
15 2 1 4 96 505 1437 571 1458 there
15 2 1 5 96 580 1438 599 1458 is
15 2 1 6 96 609 1444 654 1464 any
15 2 1 7 96 663 1437 730 1458 lower
15 2 1 8 96 740 1444 766 1458 or
15 2 1 9 96 775 1444 850 1464 upper
15 2 1 10 96 859 1437 941 1458 bound
15 2 1 11 93 950 1437 976 1458 of
15 2 1 12 17 984 1437 1012 1462 €,
15 2 1 13 96 1024 1437 1071 1458 and
15 2 1 14 56 1081 1437 1118 1467 Ey,
15 2 1 15 96 1129 1444 1162 1458 we
15 2 1 16 96 1171 1437 1230 1458 need
15 2 1 17 96 1239 1439 1265 1458 to
15 2 1 18 95 1274 1437 1421 1458 understand
15 2 2 1 96 232 1478 273 1499 the
15 2 2 2 96 286 1481 420 1505 parameter
